number,vector,amax
1,"[643350, 996991, 566922, 57340, 676116, 212761, 63664, 484537, 565609, 1045572, 182996, 200226, 432999, 305044, 685894, 75116, 336788, 572786, 152005, 506758, 849224, 138252, 501592, 625742]",1048576
2,"[779502, 216040, 813083, 352523, 1001275, 57361, 446193, 655226, 73198, 1021448, 930844, 1044275, 517949, 117859, 1006273, 18062, 602700, 68806, 778805, 920457, 797461, 651652, 558906, 830696]",1048576
3,"[719245, 146598, 801919, 193452, 734505, 280427, 95609, 348174, 487134, 268714, 826974, 411811, 301314, 728253, 276782, 386076, 1042655, 257684, 806001, 334462, 70399, 791054, 83151, 558637]",1048576
4,"[90360, 750975, 122927, 558336, 1040101, 89235, 347972, 145632, 820579, 605930, 29620, 890325, 184758, 113993, 952166, 533579, 1036128, 893929, 270968, 421418, 497306, 1036049, 602595, 73917]",1048576
5,"[444407, 125216, 265305, 412110, 23786, 756054, 298810, 641514, 699004, 107753, 763043, 237041, 121980, 76582, 899324, 115480, 227757, 729398, 76298, 244059, 402340, 898927, 695219, 263514]",1048576
6,"[1026246, 133018, 196797, 187884, 24636, 756158, 295477, 17252, 1034261, 257034, 625922, 142892, 958374, 900762, 410435, 695016, 885279, 842479, 636327, 237649, 992635, 796155, 308526, 536027]",1048576
7,"[528911, 764578, 420827, 137250, 526313, 1011810, 544860, 644303, 432477, 705143, 347685, 265382, 461004, 557365, 466600, 1004099, 606384, 60503, 980390, 368618, 454064, 212179, 90013, 688519]",1048576
8,"[937465, 161984, 764734, 731854, 616632, 1041846, 305458, 166983, 217040, 435105, 689539, 1020221, 731826, 722941, 617210, 454350, 513869, 341135, 667682, 399486, 818075, 849192, 875530, 811502]",1048576
9,"[119120, 211500, 154450, 395927, 377642, 328611, 436508, 577015, 414286, 26831, 13112, 257144, 620148, 878035, 1044505, 412300, 821485, 433343, 344090, 781570, 509860, 1026629, 617565, 100836]",1048576
10,"[152759, 1045902, 592617, 495580, 291789, 402703, 236614, 369209, 505593, 48856, 511720, 698818, 400294, 696226, 550838, 808309, 784763, 597590, 1037039, 52120, 72166, 224490, 958199, 690479]",1048576
11,"[526892, 298478, 783060, 683334, 843, 310887, 408239, 396237, 340922, 11138, 923424, 215612, 885443, 814171, 550730, 130613, 453033, 212299, 1039616, 574923, 158378, 331903, 198007, 210596]",1048576
12,"[134410, 586767, 892328, 772055, 1035527, 1018044, 870855, 76658, 1891, 435548, 441766, 949633, 1012626, 748470, 458720, 639214, 20820, 313971, 319888, 568338, 53636, 862118, 106721, 913766]",1048576
