number,vector,amax
1,"[6176535, 888127, 1952256, 6964401, 10944360, 6600895, 189829, 14422417, 15661269, 684014, 1664991, 16072120, 5124314, 11111742, 7485612, 9789639, 15836132, 9024021, 4209234, 2021761, 16081879, 11362938, 10134361, 9502879]",16777216
2,"[7933072, 5046023, 178437, 16332731, 3216904, 12297290, 9730605, 7258756, 4884282, 15544946, 9683824, 4989173, 513624, 14682694, 7068332, 2260177, 16383392, 14045911, 7163415, 5472524, 13777241, 11986066, 8141106, 6402077]",16777216
3,"[7634776, 5925880, 4229712, 4611555, 4469706, 14303863, 7973329, 69720, 11071204, 10359770, 14745118, 3313753, 16091893, 5550222, 7005345, 7045392, 8930792, 10903112, 7456225, 7975901, 2250695, 15123593, 9499389, 687869]",16777216
4,"[772226, 9981352, 8396025, 3083602, 14516969, 6541730, 5695112, 15980236, 1110970, 7569621, 13427496, 1620476, 5886456, 2122253, 11870671, 7718754, 8350265, 2577008, 5023405, 1779717, 3313568, 4549391, 1075107, 8790273]",16777216
5,"[12254012, 10482299, 15719268, 6025227, 13595182, 10970919, 7040609, 13955776, 11332235, 6888232, 2771922, 14758005, 5353474, 3368022, 8239754, 16111760, 16721330, 11444758, 9577066, 107384, 1575928, 4919808, 13216399, 3870512]",16777216
6,"[6453194, 3966554, 12441309, 4959902, 12947419, 12543464, 16419647, 10550008, 12834102, 9255266, 11565147, 1701716, 5634981, 743127, 8639206, 14450437, 15724135, 12265827, 15363300, 10331528, 3463984, 8823361, 7067347, 14893071]",16777216
7,"[3143881, 4747529, 449066, 6811152, 12895229, 4976638, 9579404, 14052966, 5960046, 9553778, 5936996, 2562138, 6022969, 14242535, 13006852, 7187617, 6144475, 12176361, 11456102, 6695722, 9271033, 10821964, 10337165, 8104511]",16777216
8,"[2666172, 13343521, 9456482, 11996579, 1268348, 10464800, 6796607, 3814302, 9520123, 9045530, 15044115, 5180303, 7008352, 10979929, 15592173, 7668634, 7803327, 3431282, 5965639, 6197678, 16409691, 3369652, 7495327, 5078758]",16777216
9,"[12328514, 16741278, 11282310, 11203531, 2437174, 5660587, 16431270, 2633098, 15030413, 10474163, 2796298, 10028360, 11130257, 5384621, 15180032, 503107, 16016014, 15679698, 16349776, 2042867, 6815241, 1410607, 4653508, 16129319]",16777216
10,"[2716172, 5426042, 2809287, 6083907, 2557242, 16242996, 11922664, 11684225, 2306157, 9188818, 15616077, 12057877, 522873, 7324269, 5664730, 10886214, 10300522, 452388, 15364552, 6090330, 1345399, 2949386, 761717, 6363807]",16777216
11,"[160676, 3860830, 15271839, 2162134, 5736691, 6630358, 4621494, 11951691, 1455960, 2450270, 10925292, 9082842, 5057608, 9543767, 15945853, 12731333, 5729777, 634830, 14325793, 2683486, 8972586, 5229071, 4598224, 894579]",16777216
12,"[13282951, 3582743, 3427896, 1434319, 13777159, 8378799, 8325357, 8427874, 1095783, 1714754, 4483780, 676215, 6082720, 12650679, 3625901, 11523820, 4414823, 7633191, 5749856, 10848713, 6862396, 5639769, 5283325, 16556894]",16777216
13,"[8924456, 8906380, 13127321, 8454712, 11266783, 12237956, 14769959, 4588188, 4716189, 15996843, 8383840, 14093790, 12673174, 8987398, 14066150, 14315164, 12706318, 6699807, 16390122, 9293688, 1060776, 6612933, 8289786, 8553589]",16777216
14,"[10807178, 4598282, 7903711, 16215093, 8785534, 9241092, 9391510, 8104820, 13100089, 10200865, 16730037, 12615738, 403686, 11928793, 13525525, 418599, 3861858, 3296790, 3458236, 3382133, 10441280, 9230074, 5072014, 6108810]",16777216
15,"[8859259, 14063751, 2537155, 16298776, 8617109, 2894274, 4311478, 8548692, 4699445, 7226828, 9491118, 2372979, 14655576, 2625366, 7607705, 8881780, 5883805, 4817973, 16594274, 3023371, 14205408, 6328692, 2318142, 13646713]",16777216
16,"[6103331, 13211827, 7003015, 15140647, 9795138, 14921439, 8139134, 15043913, 1378358, 11334235, 1618137, 16003742, 1225103, 5055096, 2885210, 1609337, 12565395, 6770444, 3254197, 12939114, 1405114, 2064182, 8670370, 12045917]",16777216
17,"[6645472, 11876015, 7090407, 4206590, 1682590, 16528927, 4420091, 113714, 1972354, 9034739, 9615980, 14097614, 10178779, 10632307, 5239348, 9644474, 11433437, 13544934, 10127433, 5929132, 12449327, 8094231, 625159, 9992577]",16777216
18,"[2037738, 2915646, 11494625, 4628460, 7675701, 8830241, 9968965, 3268474, 3990282, 8539057, 14757228, 3989907, 1938517, 10214723, 2940209, 2685788, 6187076, 16248288, 14857447, 5249657, 8860852, 1380186, 5178246, 14512546]",16777216
19,"[9549205, 7508169, 13994131, 6673932, 5645871, 6016988, 12121653, 6141398, 9224873, 6828098, 7570538, 5212870, 6770233, 5326818, 6227922, 5813270, 11132729, 1070547, 5092139, 6734296, 13356062, 7710448, 832210, 2160578]",16777216
20,"[7585110, 168039, 9657141, 4749661, 16727726, 4340482, 13321629, 13059182, 10340217, 9849077, 9860785, 8365926, 359337, 4618373, 12493010, 8979060, 12412684, 14456121, 15980370, 474417, 2677226, 12295723, 9313591, 4262475]",16777216
21,"[9343040, 5514973, 3131191, 727375, 15768358, 4158231, 5136725, 1260776, 6141536, 4196434, 5601062, 13043645, 12032103, 14438187, 1648900, 4565741, 6339477, 12127198, 11792810, 3036240, 158138, 1955258, 2437680, 10508212]",16777216
22,"[12228445, 4347014, 2805455, 8468629, 13140638, 1034071, 12603742, 13548514, 5193616, 1288093, 2840244, 7226021, 7093788, 2945200, 6699964, 4445077, 13713831, 6796249, 15508386, 6764239, 1345851, 5235596, 2937992, 6721875]",16777216
23,"[1614420, 13127667, 8556760, 10572189, 4792170, 9949260, 10969034, 7015371, 683037, 10192589, 8282459, 15760027, 11941416, 4438555, 7191020, 16009088, 7796639, 10617967, 12379872, 7030350, 11226651, 6369079, 8976496, 5267799]",16777216
24,"[6159962, 1119554, 6072021, 5744986, 8214250, 16515296, 12128137, 10239612, 6011652, 11095865, 1350353, 2288046, 15287350, 1505651, 8952289, 3493278, 12725767, 2717329, 12005121, 7466261, 5359313, 6108122, 1377380, 14452123]",16777216
25,"[11150869, 12492213, 1689459, 14821284, 5936535, 1879071, 1135759, 6080142, 15109719, 15789185, 14750945, 14657049, 1937499, 16386660, 2667122, 2604908, 3103500, 8307665, 7577730, 5749941, 15456662, 11590130, 6681744, 3744197]",16777216
26,"[3439573, 650533, 16449568, 8281062, 5700418, 3865848, 3549003, 8229502, 14090973, 451702, 8649329, 15771767, 3472795, 15004111, 13302069, 7417817, 8180030, 10821869, 756783, 2705881, 5946019, 11563025, 8215290, 14267943]",16777216
