task number,vector number,target weight,fraction
1,1,77495276,0.29
2,1,63371723,0.33
3,1,95422724,0.46
4,1,59123886,0.38
5,1,22262164,0.08
6,1,10818375,0.08
7,1,66199282,0.29
8,1,26773011,0.08
9,1,38772550,0.17
10,1,53540817,0.17
11,2,46121124,0.17
12,2,51168296,0.17
13,2,37864210,0.29
14,2,70837083,0.33
15,2,96298911,0.42
16,2,70689549,0.38
17,2,18592908,0.08
18,2,78504555,0.42
19,2,53320471,0.25
20,2,108706782,0.50
21,3,78878269,0.42
22,3,54066360,0.33
23,3,40312610,0.25
24,3,21262882,0.08
25,3,35911988,0.17
26,3,52507228,0.25
27,3,78755194,0.46
28,3,15811462,0.08
29,3,31829036,0.21
30,3,24244507,0.08
31,4,16155420,0.17
32,4,76710341,0.50
33,4,78111617,0.38
34,4,38852371,0.33
35,4,62100351,0.42
36,4,84689467,0.50
37,4,35613845,0.38
38,4,68276970,0.38
39,4,12711597,0.12
40,4,24225930,0.25
41,5,93356382,0.46
42,5,45087102,0.12
43,5,22776993,0.08
44,5,73761578,0.38
45,5,82489369,0.42
46,5,55479318,0.25
47,5,38017258,0.17
48,5,81731602,0.42
49,5,88879200,0.38
50,5,114024224,0.50
51,6,106366609,0.46
52,6,54097301,0.25
53,6,73304367,0.33
54,6,132240678,0.50
55,6,74446582,0.38
56,6,110881726,0.46
57,6,80567255,0.29
58,6,16298086,0.08
59,6,22793838,0.12
60,6,66407061,0.33
61,7,11935146,0.08
62,7,78849991,0.46
63,7,64095754,0.33
64,7,53871000,0.25
65,7,19133182,0.08
66,7,75149785,0.38
67,7,46121470,0.17
68,7,34731258,0.21
69,7,17196847,0.08
70,7,16852050,0.12
71,8,81109078,0.33
72,8,38137469,0.25
73,8,18422279,0.08
74,8,89001434,0.46
75,8,58719753,0.21
76,8,58117087,0.29
77,8,86422012,0.42
78,8,83868273,0.46
79,8,91777437,0.50
80,8,50322941,0.21
81,9,86217655,0.42
82,9,73112625,0.38
83,9,23334362,0.12
84,9,87870858,0.38
85,9,67239930,0.25
86,9,37597012,0.25
87,9,100282131,0.42
88,9,84596183,0.50
89,9,51782480,0.25
90,9,48774626,0.21
91,10,72446068,0.46
92,10,70622276,0.42
93,10,72383556,0.42
94,10,55331445,0.33
95,10,76951444,0.46
96,10,81092768,0.50
97,10,21498539,0.12
98,10,58506877,0.29
99,10,8800079,0.08
100,10,50813118,0.29
101,11,60715609,0.38
102,11,42227399,0.25
103,11,87589571,0.50
104,11,64679261,0.38
105,11,38823474,0.17
106,11,39884497,0.33
107,11,7891911,0.08
108,11,9597521,0.08
109,11,58871440,0.25
110,11,81310597,0.50
111,12,57836698,0.46
112,12,74217800,0.50
113,12,60720352,0.38
114,12,45751761,0.38
115,12,23499392,0.08
116,12,67346687,0.42
117,12,70024808,0.42
118,12,6735552,0.08
119,12,45122715,0.21
120,12,54332429,0.38
121,13,95743096,0.33
122,13,98980795,0.38
123,13,51898486,0.21
124,13,57266306,0.25
125,13,112298762,0.42
126,13,44410845,0.17
127,13,65049111,0.25
128,13,76530357,0.29
129,13,60055320,0.21
130,13,40829588,0.17
131,14,67323743,0.38
132,14,51744197,0.33
133,14,62604077,0.29
134,14,89032673,0.50
135,14,24858896,0.25
136,14,73009200,0.42
137,14,60089439,0.33
138,14,63272390,0.38
139,14,22766617,0.08
140,14,101425402,0.46
141,15,86372148,0.42
142,15,53664130,0.33
143,15,62528805,0.29
144,15,63665087,0.33
145,15,55837424,0.25
146,15,62742710,0.38
147,15,33999784,0.25
148,15,37133655,0.12
149,15,90259135,0.46
150,15,67305314,0.33
151,16,21175893,0.21
152,16,24816912,0.12
153,16,66943432,0.38
154,16,22734252,0.08
155,16,66170573,0.21
156,16,76958090,0.33
157,16,53987564,0.33
158,16,38372227,0.21
159,16,14590185,0.08
160,16,38943543,0.12
161,17,71129419,0.46
162,17,83544038,0.50
163,17,99901535,0.50
164,17,45029506,0.17
165,17,83157107,0.33
166,17,83337798,0.46
167,17,94174660,0.46
168,17,88207224,0.50
169,17,91916358,0.50
170,17,49210596,0.25
171,18,52317087,0.21
172,18,57087434,0.42
173,18,33393127,0.17
174,18,64948477,0.25
175,18,9239939,0.08
176,18,23051603,0.08
177,18,76395534,0.50
178,18,77240378,0.46
179,18,39792033,0.17
180,18,36274140,0.25
181,19,15952164,0.17
182,19,57443460,0.33
183,19,92291564,0.50
184,19,44164593,0.33
185,19,12547566,0.08
186,19,29302284,0.17
187,19,35849160,0.29
188,19,80490366,0.50
189,19,76036377,0.42
190,19,59360668,0.33
191,20,36972655,0.21
192,20,48156026,0.33
193,20,21015641,0.12
194,20,58672843,0.25
195,20,59499337,0.29
196,20,55126893,0.25
197,20,68367835,0.29
198,20,13319542,0.08
199,20,30818737,0.17
200,20,42205466,0.25
201,21,72703333,0.50
202,21,54896909,0.38
203,21,55038320,0.50
204,21,55395568,0.33
205,21,70506330,0.46
206,21,68085463,0.46
207,21,65276840,0.42
208,21,24738937,0.21
209,21,22288932,0.12
210,21,45871872,0.38
211,22,20532242,0.21
212,22,35878291,0.21
213,22,42073739,0.25
214,22,56504551,0.38
215,22,18446378,0.08
216,22,18689829,0.12
217,22,59990773,0.38
218,22,49235272,0.29
219,22,69613650,0.38
220,22,41113728,0.25
221,23,22328180,0.12
222,23,32085555,0.17
223,23,66156779,0.29
224,23,90516580,0.46
225,23,89658887,0.42
226,23,106901063,0.46
227,23,113449804,0.50
228,23,88304493,0.38
229,23,40367395,0.17
230,23,21844618,0.08
231,24,21335477,0.08
232,24,22144560,0.12
233,24,58769589,0.33
234,24,54632369,0.33
235,24,44716623,0.33
236,24,56484006,0.25
237,24,54367358,0.29
238,24,52016852,0.38
239,24,19232625,0.08
240,24,55403099,0.29
241,25,75938765,0.42
242,25,24563071,0.21
243,25,114075937,0.50
244,25,70940696,0.33
245,25,30848917,0.17
246,25,8713489,0.08
247,25,39180934,0.25
248,25,21393197,0.08
249,25,32953494,0.25
250,25,121663250,0.50
251,26,115034555,0.50
252,26,58022676,0.25
253,26,84996607,0.46
254,26,108401286,0.50
255,26,14058852,0.08
256,26,28351233,0.17
257,26,41818166,0.25
258,26,25844830,0.12
259,26,50504301,0.33
260,26,41367306,0.25
261,27,61432546,0.38
262,27,98155325,0.38
263,27,41417322,0.21
264,27,59792818,0.29
265,27,66994324,0.42
266,27,77728643,0.46
267,27,24381926,0.08
268,27,75593654,0.33
269,27,60142171,0.29
270,27,28497866,0.08
271,28,26424798,0.12
272,28,40755911,0.17
273,28,49471126,0.25
274,28,50292828,0.29
275,28,82944810,0.42
276,28,50500485,0.33
277,28,82302821,0.46
278,28,18381418,0.08
279,28,82538037,0.33
280,28,53247807,0.25
281,29,52353627,0.21
282,29,71063077,0.29
283,29,46403541,0.17
