task number,solution time,fitness minimum,stop reason,generations number
89,1.719687,0,Найдено точное решение,202
1,3.391600,0,Найдено точное решение,418
9,4.167771,1911,Нет улучшений на последних двух итерациях,503
149,4.001748,3748,Нет улучшений на последних двух итерациях,533
13,4.342893,66,Нет улучшений на последних двух итерациях,513
145,4.163953,5801,Нет улучшений на последних двух итерациях,517
81,4.449635,10982,Нет улучшений на последних двух итерациях,542
21,4.843267,3953,Нет улучшений на последних двух итерациях,628
113,4.771411,12475,Нет улучшений на последних двух итерациях,550
57,5.100944,2949,Нет улучшений на последних двух итерациях,590
101,5.124038,18000,Нет улучшений на последних двух итерациях,624
77,5.282546,23003,Нет улучшений на последних двух итерациях,603
133,5.325524,1458,Нет улучшений на последних двух итерациях,606
61,5.455308,2156,Нет улучшений на последних двух итерациях,551
121,5.460692,1313,Нет улучшений на последних двух итерациях,656
53,5.783120,6936,Нет улучшений на последних двух итерациях,690
129,5.987438,6178,Нет улучшений на последних двух итерациях,715
137,5.974467,1508,Нет улучшений на последних двух итерациях,598
37,6.463069,3127,Нет улучшений на последних двух итерациях,566
97,6.575050,1944,Нет улучшений на последних двух итерациях,656
29,6.816935,15636,Нет улучшений на последних двух итерациях,521
105,6.682390,1066,Нет улучшений на последних двух итерациях,803
109,6.748746,650,Нет улучшений на последних двух итерациях,739
49,6.977343,4269,Нет улучшений на последних двух итерациях,583
141,6.823386,7284,Нет улучшений на последних двух итерациях,915
117,6.987688,1832,Нет улучшений на последних двух итерациях,549
33,7.268123,5401,Нет улучшений на последних двух итерациях,598
153,7.046674,2384,Нет улучшений на последних двух итерациях,693
85,7.209812,3311,Нет улучшений на последних двух итерациях,609
69,7.250274,2242,Нет улучшений на последних двух итерациях,898
65,7.698309,3120,Нет улучшений на последних двух итерациях,788
45,7.836025,4568,Нет улучшений на последних двух итерациях,556
150,3.742533,10492,Нет улучшений на последних двух итерациях,515
93,7.891910,3557,Нет улучшений на последних двух итерациях,803
25,8.206738,7746,Нет улучшений на последних двух итерациях,707
73,8.234396,12545,Нет улучшений на последних двух итерациях,684
41,8.721057,10937,Достигнуто максимальное число поколений,1000
125,8.564610,2419,Нет улучшений на последних двух итерациях,693
5,8.838847,2575,Нет улучшений на последних двух итерациях,775
22,4.003754,16303,Нет улучшений на последних двух итерациях,567
157,8.875604,14931,Достигнуто максимальное число поколений,1000
90,7.335077,11724,Нет улучшений на последних двух итерациях,883
114,4.304215,74,Нет улучшений на последних двух итерациях,509
158,0.522872,0,Найдено точное решение,73
2,6.445607,2388,Нет улучшений на последних двух итерациях,695
82,5.383231,9822,Нет улучшений на последних двух итерациях,656
54,4.690253,4154,Нет улучшений на последних двух итерациях,601
10,6.758063,6494,Нет улучшений на последних двух итерациях,657
17,11.077955,703,Нет улучшений на последних двух итерациях,960
30,4.525349,3019,Нет улучшений на последних двух итерациях,512
134,5.813839,4892,Нет улучшений на последних двух итерациях,687
122,5.828633,1412,Нет улучшений на последних двух итерациях,501
50,4.560283,4076,Нет улучшений на последних двух итерациях,603
34,4.275551,1957,Нет улучшений на последних двух итерациях,529
142,4.718563,2934,Нет улучшений на последних двух итерациях,676
38,5.521928,5486,Нет улучшений на последних двух итерациях,591
86,4.783699,2532,Нет улучшений на последних двух итерациях,532
58,7.247358,11920,Нет улучшений на последних двух итерациях,816
98,5.764443,1380,Нет улучшений на последних двух итерациях,621
154,5.156331,735,Нет улучшений на последних двух итерациях,500
74,4.221825,9986,Нет улучшений на последних двух итерациях,506
106,5.759603,17519,Нет улучшений на последних двух итерациях,587
78,7.219887,3064,Нет улучшений на последних двух итерациях,608
23,3.856118,1725,Нет улучшений на последних двух итерациях,546
14,8.474549,18361,Нет улучшений на последних двух итерациях,906
138,6.647131,9393,Нет улучшений на последних двух итерациях,682
66,5.284474,3823,Нет улучшений на последних двух итерациях,503
146,8.795347,2673,Нет улучшений на последних двух итерациях,876
110,6.453434,1644,Нет улучшений на последних двух итерациях,511
26,5.401925,15205,Нет улучшений на последних двух итерациях,575
159,3.920382,18634,Нет улучшений на последних двух итерациях,536
102,8.573361,11542,Нет улучшений на последних двух итерациях,981
151,6.054723,4222,Нет улучшений на последних двух итерациях,523
126,5.305978,20303,Нет улучшений на последних двух итерациях,525
27,0.585144,0,Найдено точное решение,70
91,5.188430,843,Нет улучшений на последних двух итерациях,621
3,4.883495,2856,Нет улучшений на последних двух итерациях,557
6,5.889241,1875,Нет улучшений на последних двух итерациях,564
94,6.810578,1167,Нет улучшений на последних двух итерациях,514
62,9.459113,1989,Достигнуто максимальное число поколений,1000
130,8.983580,798,Нет улучшений на последних двух итерациях,651
83,5.240663,2263,Нет улучшений на последних двух итерациях,606
11,4.384665,2783,Нет улучшений на последних двух итерациях,537
115,6.192019,10454,Нет улучшений на последних двух итерациях,605
55,5.051067,2229,Нет улучшений на последних двух итерациях,596
