task number,first solution time,all solutions time,answers number
105,0.047393,31.354395,3
137,23.672015,31.412660,1
89,1.378971,31.676023,3
101,6.800886,31.699466,2
53,1.060549,31.816119,2
49,2.477915,32.418611,1
61,0.041920,32.617884,3
17,0.166006,32.640496,3
9,0.290611,32.748214,4
133,2.526655,32.842745,2
33,16.309727,33.501764,1
97,3.388024,33.608379,4
129,0.797668,33.917041,1
113,14.890379,34.530614,2
77,8.625458,34.553523,1
5,0.000302,34.573714,2
93,16.204858,34.570989,1
117,1.866087,34.726898,4
57,8.941209,34.797824,2
37,6.137551,34.909453,2
21,12.164425,34.928936,1
1,7.667339,34.968107,2
157,0.745663,34.981031,4
109,4.429039,35.284217,2
45,17.457199,35.414869,3
121,1.265671,35.731327,1
69,0.000147,35.917689,1
85,0.102355,35.961008,1
25,0.112543,35.985340,2
13,0.028689,36.234822,2
141,2.335588,36.223739,1
145,22.915290,36.522089,1
81,9.944136,36.815384,2
149,22.989872,36.904338,1
29,10.085657,36.970897,2
41,2.536003,37.150821,2
65,0.000661,37.722576,2
73,19.243635,37.847549,1
153,3.590132,37.844153,1
125,20.406618,38.599508,2
18,15.152326,26.628426,1
138,5.869165,30.794146,3
106,0.228226,31.260442,1
110,12.447520,27.676991,1
130,0.761351,30.102926,3
90,1.125395,32.454900,1
38,0.261427,30.241386,1
98,1.651466,32.490309,1
50,10.210341,34.081445,3
2,6.713987,32.439754,1
102,7.393234,35.734352,3
22,9.526308,33.140430,1
82,4.950226,31.691549,3
122,1.029476,32.919081,2
142,6.755343,32.609441,2
14,7.984481,32.668368,1
26,17.245649,33.511073,4
134,15.160764,36.991572,2
78,13.341325,35.985587,3
34,1.299931,37.090294,2
94,9.455972,36.068698,1
62,14.387466,38.445944,2
158,1.193834,36.095081,3
54,8.342580,39.608059,3
154,0.960912,33.773719,1
114,0.274203,37.318048,1
58,2.273613,37.167882,1
6,10.364742,37.928632,3
150,8.200616,35.994443,1
118,4.000267,38.961067,6
66,0.844573,36.218268,5
146,3.731588,37.858922,1
30,11.038854,38.246233,2
10,1.782556,42.525958,2
126,0.219392,36.838792,2
86,2.716454,39.932237,2
70,0.096499,40.495584,2
46,5.514766,41.129872,2
42,0.171902,42.008275,2
74,2.264209,42.342389,1
19,6.868164,28.056120,4
111,7.472987,27.316766,1
107,0.104662,30.868327,3
139,0.020947,32.436637,3
91,23.500618,32.628576,2
39,3.359512,33.859172,1
115,0.755759,28.236545,1
23,9.210701,33.309532,3
15,3.796393,32.507761,1
131,23.975309,37.535704,1
3,28.322341,34.508715,2
103,32.419066,34.980604,2
51,6.153290,36.262832,2
123,1.547009,34.277526,2
83,2.093697,35.486343,2
151,1.819665,31.105240,4
155,0.266639,33.020488,1
63,3.850778,33.966873,3
7,3.106832,32.795219,2
143,4.554208,36.884516,1
147,1.188387,31.730093,2
79,30.879130,35.711356,1
35,6.822733,35.892867,2
119,3.623569,33.413568,2
27,10.472834,37.830636,2
59,2.168471,35.448059,2
95,3.234772,37.877914,1
99,0.000016,43.621956,1
127,3.770784,34.455011,2
31,0.820503,35.240161,2
67,1.287448,37.413904,1
87,16.943581,35.514158,1
135,4.151494,41.644850,2
159,0.000319,40.486013,1
11,3.517454,37.262253,2
112,6.283902,26.731435,3
47,11.387230,41.572031,2
75,2.106048,38.602974,2
71,0.087948,43.037695,3
55,7.531471,48.192462,2
20,24.675624,36.464600,1
108,0.000024,34.505150,2
43,0.283826,48.870761,1
92,13.168171,31.776871,3
40,9.507232,31.003753,1
140,26.799752,38.363593,1
156,1.242477,28.974972,3
80,3.267171,28.053838,1
152,6.558190,30.274753,1
116,3.220891,34.261102,3
104,12.733236,32.707695,2
24,0.180603,34.086209,2
132,4.568185,34.254011,2
16,25.439040,34.446646,1
4,0.669755,33.943443,3
124,3.399069,32.971299,2
60,4.477076,31.502629,1
52,12.577558,36.293801,1
148,0.585155,33.066761,1
96,4.133538,31.923118,3
120,2.576429,33.692536,2
84,7.238465,37.069468,2
100,16.876937,33.420085,2
36,14.556593,37.868220,3
88,3.742654,33.071719,2
8,0.021647,39.883503,6
160,0.093117,33.898905,2
28,23.105322,38.275450,2
12,2.200569,33.597231,2
64,6.339996,41.704562,1
128,8.658791,37.447261,1
68,14.585916,37.536973,3
48,13.117743,31.762265,2
32,1.388702,40.703004,2
144,0.499943,47.234435,3
161,10.205284,36.256562,1
72,4.245088,34.086941,1
76,3.426438,35.002986,1
136,15.710383,44.396179,1
173,0.321931,31.673535,2
177,6.298471,30.399385,2
169,3.197738,33.129462,3
165,17.199668,37.791652,2
189,14.008909,29.633622,2
56,10.064367,45.850419,2
185,0.800531,31.840340,3
213,3.870737,32.043010,3
193,15.990316,33.842939,1
205,24.425610,33.095538,1
217,22.241077,32.746766,2
225,18.259411,31.589452,1
209,26.881405,35.149391,2
181,20.802516,38.402427,1
233,4.406896,32.684469,1
237,8.790002,33.330252,4
229,4.855528,35.244600,3
253,3.909474,30.493844,2
201,22.529610,40.729701,1
249,8.053800,33.149944,3
257,7.816486,32.228150,1
265,9.694403,33.219840,1
241,2.774540,38.293435,3
273,1.966136,33.173921,2
261,14.657065,34.252399,3
277,4.280323,33.197918,2
221,0.896581,44.530779,2
245,0.164192,40.002254,2
269,4.939163,39.079782,1
44,21.890618,56.862615,2
297,1.632760,31.995281,1
289,0.347085,35.578593,2
197,15.278223,51.288994,3
285,9.524474,37.043359,2
281,13.905243,39.390840,1
305,3.525706,33.552747,2
309,4.124952,32.327883,1
293,20.291617,37.473948,2
162,15.819240,39.594409,2
174,17.772491,36.424070,1
178,11.824279,36.791551,3
170,7.742747,36.600059,2
166,16.148698,36.787591,2
190,20.208249,35.279406,2
194,5.968331,31.874715,2
301,0.355142,47.290002,3
214,10.700300,33.044477,4
186,0.024878,36.565835,1
313,4.684182,38.122250,2
226,2.798584,33.715489,4
210,13.924882,34.277225,1
234,1.187325,34.605075,1
182,20.280606,35.327476,1
238,11.866884,33.435463,2
250,1.936560,31.482709,2
230,2.721010,34.846729,2
218,2.619096,41.376387,3
258,0.005274,34.000124,2
206,32.498337,42.994536,1
266,10.178163,32.839770,4
262,5.111356,32.292277,1
222,3.994853,31.525175,2
254,19.915208,37.255563,1
202,1.222917,37.594722,2
