task number,vector number,target weight,fraction
1,1,1977107,0.17
2,1,3198171,0.25
3,1,1367288,0.12
4,1,2040134,0.17
5,1,3105849,0.25
6,1,2290230,0.17
7,1,2975383,0.25
8,1,6926535,0.50
9,1,3395619,0.33
10,1,5675785,0.42
11,2,3355494,0.50
12,2,2641844,0.21
13,2,4942962,0.50
14,2,2678596,0.21
15,2,2970104,0.25
16,2,1270638,0.17
17,2,4602781,0.46
18,2,1305725,0.12
19,2,3342855,0.38
20,2,3320986,0.46
21,3,5954640,0.46
22,3,2947191,0.21
23,3,7100134,0.50
24,3,2002244,0.17
25,3,5410359,0.29
26,3,812568,0.08
27,3,6040660,0.46
28,3,3963144,0.21
29,3,2798925,0.12
30,3,2233289,0.12
31,4,1257487,0.12
32,4,3754705,0.38
33,4,5804700,0.46
34,4,5238256,0.29
35,4,1236000,0.08
36,4,3033181,0.21
37,4,1206539,0.08
38,4,5201031,0.33
39,4,2346902,0.17
40,4,1932141,0.17
41,5,1528579,0.25
42,5,1991350,0.29
43,5,4122761,0.42
44,5,1431023,0.33
45,5,609756,0.17
46,5,2394222,0.33
47,5,5299728,0.50
48,5,4571383,0.46
49,5,3025316,0.38
50,5,2007906,0.21
51,6,7061719,0.46
52,6,7314568,0.50
53,6,4771787,0.29
54,6,5018375,0.33
55,6,7688909,0.50
56,6,7203816,0.42
57,6,4975665,0.38
58,6,4291984,0.33
59,6,4311567,0.33
60,6,3330251,0.29
61,7,1125284,0.08
62,7,4203996,0.29
63,7,3486745,0.21
64,7,1599645,0.12
65,7,7475259,0.50
66,7,6656284,0.46
67,7,3330415,0.21
68,7,2957394,0.12
69,7,1847568,0.12
70,7,7797559,0.50
71,8,2263448,0.12
72,8,1155448,0.08
73,8,3286827,0.33
74,8,5365890,0.50
75,8,1045554,0.12
76,8,1506468,0.12
77,8,5778387,0.46
78,8,6151582,0.46
79,8,4296853,0.38
80,8,2341527,0.17
81,9,6310410,0.38
82,9,8071312,0.50
83,9,2565562,0.21
84,9,4891545,0.29
85,9,5607870,0.42
86,9,3260732,0.38
87,9,5034216,0.33
88,9,7396762,0.46
89,9,4623921,0.29
90,9,5088701,0.46
91,10,3548192,0.21
92,10,3635850,0.21
93,10,860275,0.08
94,10,4704653,0.33
95,10,2227430,0.12
96,10,1169905,0.08
97,10,5322627,0.50
98,10,5706770,0.42
99,10,4145755,0.38
100,10,3779027,0.33
101,11,3679387,0.29
102,11,5826381,0.33
103,11,5743241,0.42
104,11,2998503,0.25
105,11,7350049,0.46
106,11,1529776,0.08
107,11,3201960,0.21
108,11,4299503,0.29
109,11,4022506,0.25
110,11,5814110,0.38
111,12,4782942,0.33
112,12,2336558,0.17
113,12,5447278,0.38
114,12,3840353,0.33
115,12,797598,0.08
116,12,5225168,0.42
117,12,3430949,0.25
118,12,1981667,0.17
119,12,2447099,0.21
120,12,4113064,0.42
121,13,5885897,0.42
122,13,5323747,0.38
123,13,3737158,0.25
124,13,3700838,0.29
125,13,1573685,0.17
126,13,2400151,0.25
127,13,2293207,0.12
128,13,3334400,0.29
129,13,4516303,0.29
130,13,3592947,0.25
131,14,7569792,0.50
132,14,2430454,0.21
133,14,3949144,0.29
134,14,2986850,0.25
135,14,2103940,0.17
136,14,2714617,0.21
137,14,4040039,0.25
138,14,4636866,0.33
139,14,3154898,0.21
140,14,4032055,0.25
141,15,3909099,0.50
142,15,1669210,0.17
143,15,4537055,0.50
144,15,3033189,0.38
145,15,1180131,0.17
146,15,3853786,0.50
147,15,2796383,0.42
148,15,572720,0.12
149,15,3575947,0.38
150,15,1255130,0.17
151,16,3232651,0.38
152,16,4780841,0.50
153,16,4363637,0.33
154,16,2784220,0.42
155,16,2841931,0.33
156,16,459621,0.08
157,16,3199826,0.38
158,16,4500768,0.46
159,16,1099007,0.08
160,16,4385874,0.50
161,17,6951082,0.46
162,17,955534,0.08
163,17,3185157,0.25
164,17,5261940,0.46
165,17,1998990,0.17
166,17,5195518,0.42
167,17,2473036,0.17
168,17,5492019,0.33
169,17,5034097,0.42
170,17,6676822,0.50
171,18,5927655,0.50
172,18,1230379,0.17
173,18,1408064,0.08
174,18,4480192,0.46
175,18,2833502,0.25
176,18,4218819,0.42
177,18,2606313,0.17
178,18,3484335,0.25
179,18,7357864,0.50
180,18,5529640,0.46
181,19,2391680,0.29
182,19,2898395,0.25
183,19,2849682,0.29
184,19,2381125,0.25
185,19,4469584,0.46
186,19,1411830,0.12
187,19,5513006,0.46
188,19,3573584,0.17
189,19,2796894,0.17
190,19,2230165,0.17
191,20,4187224,0.38
192,20,724109,0.12
193,20,3587695,0.38
194,20,5041315,0.50
195,20,3649353,0.33
196,20,3529080,0.38
197,20,4858203,0.46
198,20,4753536,0.46
199,20,2837779,0.29
200,20,1412003,0.12
201,21,3806335,0.42
202,21,735126,0.12
203,21,1773951,0.21
204,21,1337621,0.08
205,21,5095820,0.50
206,21,1317088,0.17
207,21,3369015,0.29
208,21,1197959,0.12
209,21,4574460,0.46
210,21,3159888,0.42
211,22,4300941,0.29
212,22,4770972,0.38
213,22,4769321,0.38
214,22,1427652,0.12
215,22,3685338,0.33
216,22,6334193,0.46
217,22,3956986,0.42
218,22,6754321,0.46
219,22,1333159,0.12
220,22,2673483,0.17
221,23,1017095,0.17
222,23,2698765,0.21
223,23,1643400,0.21
224,23,2946276,0.29
225,23,5276328,0.38
226,23,3761378,0.42
227,23,4021714,0.33
228,23,1068030,0.17
229,23,2951213,0.25
230,23,5568955,0.50
231,24,2084355,0.17
232,24,3669309,0.42
233,24,2715190,0.25
234,24,4047300,0.33
235,24,1940327,0.17
236,24,5370833,0.46
237,24,6590053,0.46
238,24,5603853,0.50
239,24,5323656,0.50
240,24,653649,0.08
241,25,4775062,0.25
242,25,5288209,0.38
243,25,6342836,0.46
244,25,5126008,0.38
245,25,5104197,0.38
246,25,5114966,0.33
247,25,3373344,0.21
248,25,5252937,0.33
249,25,3166348,0.25
250,25,3538765,0.25
251,26,2586410,0.17
252,26,6117596,0.42
253,26,2878290,0.25
254,26,4837916,0.29
255,26,2956542,0.21
256,26,7596897,0.50
257,26,5219297,0.38
258,26,2541575,0.21
259,26,5411538,0.42
260,26,4489141,0.33
261,27,4631190,0.33
262,27,1577975,0.12
263,27,3726648,0.29
264,27,1245555,0.21
265,27,5528144,0.38
266,27,4349528,0.33
267,27,2210133,0.21
268,27,1844473,0.17
269,27,6232430,0.46
270,27,2764678,0.21
271,28,5289094,0.42
272,28,6109920,0.50
273,28,5668246,0.46
274,28,5766267,0.50
275,28,2027357,0.25
276,28,4734177,0.42
277,28,2643473,0.33
278,28,1218465,0.17
279,28,3763205,0.29
280,28,2059269,0.21
281,29,414374,0.12
282,29,6040995,0.50
283,29,1936860,0.25
284,29,1730268,0.25
285,29,5478120,0.50
286,29,1292237,0.25
287,29,5741816,0.42
288,29,1233819,0.08
289,29,4419665,0.46
290,29,4948298,0.50
291,30,5190744,0.50
292,30,2677034,0.21
293,30,1868713,0.21
294,30,603699,0.12
295,30,6596915,0.50
296,30,1460808,0.08
297,30,921981,0.12
298,30,1126812,0.12
299,30,6523417,0.46
300,30,3236384,0.25
301,31,4900248,0.38
302,31,5178245,0.42
303,31,5624764,0.46
304,31,4506815,0.33
305,31,6061955,0.46
306,31,6188236,0.42
307,31,5890248,0.42
308,31,4599400,0.42
309,31,2914097,0.29
310,31,4976813,0.38
311,32,4872075,0.38
312,32,5828917,0.50
313,32,1826146,0.17
314,32,5915862,0.42
315,32,3753499,0.29
316,32,758263,0.08
317,32,3646226,0.29
318,32,2321732,0.17
319,32,642035,0.08
320,32,3169697,0.29
321,33,1892845,0.12
322,33,6184123,0.38
323,33,4288302,0.33
324,33,1796756,0.08
325,33,3915682,0.29
326,33,6401463,0.46
327,33,5809892,0.46
328,33,7784806,0.50
329,33,4220058,0.33
330,33,5682592,0.42
331,34,1727768,0.25
332,34,1063994,0.17
333,34,4100786,0.42
334,34,2145803,0.21
335,34,3332737,0.29
336,34,2816343,0.29
337,34,5338848,0.33
338,34,5868187,0.50
339,34,385192,0.08
340,34,3387895,0.29
341,35,2873086,0.33
342,35,3622656,0.33
343,35,1421328,0.08
344,35,3775619,0.38
345,35,2731255,0.25
346,35,1251506,0.08
347,35,4954913,0.46
348,35,5245742,0.42
349,35,4544849,0.46
350,35,2115151,0.25
351,36,3409445,0.33
352,36,3969452,0.33
353,36,4069698,0.46
354,36,2561038,0.25
355,36,6237858,0.50
356,36,5927245,0.50
357,36,792569,0.08
358,36,4805570,0.46
359,36,4315515,0.46
360,36,3914392,0.38
361,37,4981146,0.46
362,37,5244076,0.50
363,37,4062513,0.46
364,37,612675,0.08
365,37,4009881,0.33
366,37,2717291,0.25
367,37,5040230,0.46
368,37,4296851,0.42
369,37,4675752,0.46
370,37,419899,0.08
371,38,4908169,0.29
372,38,3226090,0.29
373,38,4526904,0.33
374,38,6557368,0.38
375,38,1615073,0.17
376,38,339499,0.08
377,38,1457275,0.08
378,38,4562622,0.33
379,38,3718899,0.33
380,38,2894514,0.17
381,39,4484838,0.42
382,39,2853978,0.29
383,39,1410210,0.08
384,39,3985074,0.33
385,39,1236621,0.12
386,39,4848122,0.42
387,39,4430342,0.38
388,39,4671111,0.38
389,39,3871030,0.42
390,39,6173743,0.46
391,40,7775931,0.50
392,40,303753,0.08
393,40,1752949,0.08
394,40,2756475,0.12
395,40,3106937,0.29
396,40,5746174,0.42
397,40,3797313,0.29
398,40,5220996,0.42
399,40,6830935,0.42
400,40,6079499,0.42
401,41,1996863,0.29
402,41,5215032,0.50
403,41,4575437,0.42
404,41,1877487,0.21
405,41,1730205,0.25
406,41,5091037,0.46
407,41,1735799,0.21
408,41,795768,0.12
409,41,6288773,0.50
410,41,3792480,0.33
411,42,1545002,0.21
412,42,5090010,0.46
413,42,3856155,0.29
414,42,1473944,0.08
415,42,3358776,0.29
416,42,807378,0.08
417,42,4168889,0.25
418,42,4477511,0.25
419,42,3137803,0.33
420,42,869437,0.08
421,43,1902625,0.21
422,43,2595053,0.21
423,43,2415103,0.17
424,43,7451163,0.50
425,43,3511716,0.25
426,43,4038480,0.29
427,43,1558428,0.08
428,43,6878891,0.50
429,43,1842927,0.08
430,43,4696952,0.29
431,44,5796694,0.46
432,44,2646822,0.29
433,44,2625365,0.17
434,44,1018643,0.12
435,44,4815151,0.38
436,44,4568293,0.42
437,44,2635017,0.33
438,44,4326350,0.38
439,44,2605782,0.21
440,44,4577903,0.50
441,45,4577391,0.29
442,45,5792810,0.38
443,45,3765256,0.29
444,45,2273389,0.12
445,45,1030582,0.12
446,45,1953175,0.12
447,45,2515312,0.12
448,45,4366885,0.25
449,45,4506905,0.25
