task number,first solution time,all solutions time,answers number
81,1.826455,21.799964,5
125,0.189735,24.281188,1
85,1.145828,24.486137,3
113,0.367440,24.494148,5
57,1.643776,24.648053,2
33,13.191335,24.816647,2
89,9.398544,25.393800,1
1,0.493769,25.659967,1
45,10.104209,25.724914,1
149,4.112856,25.740524,9
77,1.537326,26.589744,8
145,8.036071,26.597926,1
121,0.973416,26.669742,6
133,6.849521,27.005415,2
41,0.035686,27.507767,3
117,5.385712,27.591741,1
25,3.089355,27.840472,3
53,3.417961,28.219201,2
137,1.627184,28.839826,4
37,0.000027,29.651284,1
157,0.792573,29.580603,2
105,12.377509,29.725830,5
17,4.674145,30.484653,8
61,4.001183,30.532411,1
9,8.067643,30.610022,1
49,8.240190,31.356027,3
141,6.067359,31.341788,7
97,3.172021,31.622002,4
69,2.170338,31.637174,1
93,0.082859,31.774259,1
73,2.317435,32.392354,3
65,1.176113,32.426490,8
129,13.334493,32.573404,3
21,0.007497,33.302652,4
29,1.352109,33.379022,2
13,3.788341,34.088456,5
109,5.179361,34.187741,2
5,4.144955,34.285463,1
153,0.245193,34.845977,9
101,0.038968,35.735785,3
34,4.684233,23.577359,5
146,8.356665,23.082810,13
90,2.171371,24.567897,5
150,0.006515,25.301032,1
46,0.759070,25.386368,2
126,0.375591,28.117892,1
58,2.725544,27.949074,2
42,2.365388,25.333112,1
114,0.809736,28.524875,3
2,0.207371,27.780398,1
134,24.767754,26.442986,1
78,0.129709,27.316197,6
54,3.716519,26.109236,3
122,1.148046,27.721236,5
18,6.869868,24.652035,1
38,6.731226,26.319041,2
10,2.801590,26.951464,7
82,4.712880,35.852579,4
26,0.589946,30.157526,1
30,0.039813,25.429473,1
74,7.391980,27.095747,1
130,2.390967,27.156171,1
70,3.761586,28.175743,9
158,2.454768,30.198996,10
14,13.282361,26.229714,1
94,5.142011,28.997527,4
66,1.794753,28.573467,7
22,19.304530,28.339592,1
118,3.206162,34.052359,1
6,1.628622,27.964409,1
142,1.904740,31.706854,2
50,0.754039,32.159706,2
110,12.793362,29.381164,4
86,0.871759,40.309894,1
106,0.000075,35.193413,1
98,0.957523,35.115861,2
62,30.486617,38.262039,1
154,5.679947,34.911682,3
138,6.704799,44.390059,2
47,1.626379,23.387792,7
35,0.040680,26.929923,1
102,8.434797,41.011728,6
91,0.014185,29.048690,3
19,0.695409,24.137465,3
127,0.408522,27.924475,1
123,21.947756,26.652053,1
59,4.292064,29.138816,2
151,3.823789,30.811123,2
39,12.333817,26.045471,1
147,3.206605,32.832468,8
79,12.383466,29.024667,3
43,1.464428,30.237352,7
115,0.086146,30.528012,1
3,7.995029,30.640868,1
135,0.001433,30.608247,1
55,4.258137,30.176573,7
75,12.832953,25.877378,1
67,13.248319,24.565970,1
131,2.558000,26.631340,5
71,0.031858,26.774711,1
