number,vector,amax
1,"[295174, 767806, 817310, 742818, 367752, 901495, 316148, 46901, 835921, 658110, 466874, 636846, 524883, 526429, 793903, 966382, 40548, 103879, 199143, 879520, 429667, 379773, 569869, 510280]",1048576
2,"[410542, 698127, 78583, 1048477, 667720, 572190, 237274, 29372, 12103, 285419, 651964, 130665, 199955, 929711, 80434, 19930, 546312, 535853, 557780, 801425, 577714, 46335, 95981, 3288]",1048576
3,"[853308, 684429, 1020633, 733900, 966448, 811736, 802645, 118252, 1042116, 491179, 477365, 349782, 464989, 1018637, 413533, 291603, 697264, 25684, 9923, 128058, 790361, 976452, 602129, 632073]",1048576
4,"[924361, 657858, 1037511, 833253, 373286, 585050, 616244, 881831, 281453, 107908, 1039153, 1038693, 356704, 31616, 618389, 311639, 801748, 385683, 157445, 52042, 112595, 177545, 754010, 998523]",1048576
5,"[424321, 157862, 329611, 76155, 389975, 143052, 571791, 122114, 503104, 1027108, 82378, 175554, 135008, 595594, 36946, 267067, 496778, 700646, 770506, 379254, 929144, 58571, 95776, 250410]",1048576
6,"[480951, 580070, 938235, 707919, 974583, 724301, 1001626, 1013078, 51810, 542250, 83111, 629085, 296174, 212146, 319922, 804611, 35502, 643896, 755569, 349233, 719194, 1039685, 1035413, 222679]",1048576
7,"[460043, 699150, 761794, 886455, 671233, 623100, 811611, 883806, 1044776, 76851, 567515, 309097, 346386, 486682, 916697, 356749, 338017, 581, 1011027, 901591, 819586, 768535, 407812, 373851]",1048576
8,"[542325, 569833, 758105, 940039, 632763, 828745, 444210, 623979, 370289, 147598, 840578, 785159, 303480, 693715, 784574, 21380, 708183, 16980, 230993, 899839, 270428, 467871, 253518, 199749]",1048576
9,"[544853, 609511, 174895, 407348, 469122, 791940, 679221, 635634, 791865, 62551, 882065, 249785, 513526, 161314, 1008195, 450130, 7895, 1041636, 662697, 551365, 961643, 781113, 880414, 689241]",1048576
10,"[957701, 760798, 717198, 1022272, 159283, 165530, 139576, 588547, 278240, 858201, 159225, 443201, 798424, 173068, 419445, 963759, 61851, 1029593, 590671, 688286, 92523, 921685, 727949, 206146]",1048576
11,"[774423, 176435, 500584, 515109, 983362, 236642, 755353, 542217, 5898, 1001498, 9348, 355857, 210534, 704637, 431097, 669945, 806151, 1010654, 774928, 99898, 701912, 443444, 794878, 700157]",1048576
12,"[824146, 710956, 105980, 263133, 335776, 312343, 989119, 854794, 803554, 880974, 265682, 85529, 780033, 54413, 130823, 264459, 485255, 1036623, 242862, 1006075, 568110, 650521, 606925, 507590]",1048576
13,"[60490, 463090, 163402, 957496, 868782, 86118, 262008, 589557, 379282, 889466, 40380, 970788, 222168, 565251, 530620, 722588, 883743, 381831, 681153, 764396, 995803, 336635, 438697, 991568]",1048576
14,"[603047, 864786, 188223, 522426, 259770, 1028828, 554886, 482352, 866168, 617458, 494663, 846098, 982065, 908012, 334201, 149305, 442551, 502569, 687286, 638933, 295506, 821216, 382002, 725787]",1048576
15,"[562868, 713465, 32255, 29338, 12675, 285848, 351592, 25476, 322686, 230741, 565422, 346995, 315929, 250459, 114255, 147172, 386090, 91192, 449273, 308047, 288049, 456981, 480516, 471296]",1048576
16,"[549151, 207709, 265221, 581800, 75597, 372121, 29436, 541488, 417946, 148795, 22827, 185410, 366007, 618407, 398278, 971697, 486487, 752354, 346653, 261150, 384024, 72825, 701454, 394531]",1048576
17,"[515352, 166626, 462275, 973710, 825869, 55752, 42735, 440182, 260246, 249208, 575365, 1010851, 504752, 747205, 724817, 593479, 501593, 895445, 726442, 643056, 273302, 703268, 368111, 1031823]",1048576
18,"[893178, 296261, 998236, 311954, 738356, 489817, 148500, 392750, 402717, 978406, 583670, 909949, 649711, 31569, 874817, 2961, 27952, 896031, 643590, 471435, 498115, 382076, 884819, 409427]",1048576
19,"[843430, 1000427, 48466, 585015, 338774, 374244, 362947, 117773, 59294, 78909, 12064, 731999, 847181, 367640, 363937, 33718, 919813, 786600, 645930, 312180, 963231, 473741, 806163, 163375]",1048576
20,"[1043411, 350762, 314927, 135460, 637394, 638086, 907925, 371561, 883496, 39233, 200104, 476784, 175256, 176303, 727037, 637133, 201816, 538393, 598306, 62634, 509620, 90295, 23385, 207750]",1048576
21,"[126271, 451863, 466941, 11482, 339520, 382046, 78791, 510978, 162660, 34758, 919184, 282407, 1018789, 769263, 210312, 362032, 73967, 568358, 460669, 735220, 621577, 142690, 988441, 742507]",1048576
22,"[213403, 52471, 572689, 395474, 329396, 280308, 106369, 837403, 249476, 702782, 522976, 974042, 1004187, 697549, 594962, 576273, 314292, 1048026, 456561, 327972, 479675, 791784, 611816, 891252]",1048576
23,"[384404, 516938, 9111, 53990, 220821, 208097, 888833, 39376, 223643, 603087, 986014, 186978, 707359, 274540, 577760, 304068, 996390, 633052, 171959, 628842, 523965, 40163, 1021174, 744889]",1048576
24,"[211777, 431424, 386427, 222225, 848239, 304755, 405733, 664271, 799388, 831266, 715461, 584071, 166562, 839400, 92350, 89787, 1044244, 399868, 175730, 719901, 359747, 364629, 701931, 614932]",1048576
25,"[163208, 992690, 567888, 896141, 774545, 542670, 968576, 266900, 292728, 835101, 515192, 554902, 463464, 811254, 630154, 525518, 443882, 1020271, 315541, 952389, 1026830, 377456, 1005220, 49557]",1048576
26,"[1035227, 1027166, 664047, 995250, 433782, 622368, 523197, 324398, 960767, 272677, 1027601, 896066, 927322, 197705, 349740, 487656, 589156, 356364, 463341, 187853, 592209, 74568, 653728, 902924]",1048576
27,"[266356, 539239, 617658, 807861, 836250, 995153, 941205, 854626, 912287, 107344, 655203, 850877, 516100, 578760, 153293, 458043, 558969, 53444, 178294, 40420, 857418, 840010, 207645, 394637]",1048576
28,"[295086, 94233, 887162, 611860, 415704, 508382, 307167, 21038, 660442, 415420, 53766, 591236, 974529, 921991, 496182, 241761, 4962, 1041795, 115406, 649987, 278683, 122192, 254313, 877857]",1048576
29,"[12881, 177252, 774994, 771660, 208778, 707066, 373536, 345489, 645532, 208540, 99348, 884904, 557025, 471526, 887407, 27803, 217433, 944082, 462159, 124741, 166056, 62295, 319819, 72200]",1048576
30,"[123263, 805374, 908716, 392566, 139382, 997813, 63194, 699595, 655434, 341302, 645449, 988531, 1000582, 202390, 127499, 691297, 199203, 700065, 233982, 789689, 277499, 88797, 64157, 1048358]",1048576
31,"[383080, 846889, 1027878, 833334, 640636, 352649, 793878, 374028, 378192, 831310, 298241, 540941, 368052, 145037, 29033, 955310, 282550, 557129, 634010, 304303, 306826, 61954, 1044515, 685958]",1048576
32,"[112685, 558212, 626610, 359188, 512027, 380481, 112198, 582337, 409550, 596147, 133923, 232485, 55117, 730511, 131653, 578252, 683115, 556635, 789387, 742381, 42895, 947680, 1031360, 547699]",1048576
33,"[900573, 738379, 966981, 153884, 79297, 779144, 990117, 878658, 590982, 918098, 521690, 766690, 135793, 378280, 921495, 180047, 685206, 154728, 731, 1014004, 643091, 593070, 87113, 616456]",1048576
34,"[711205, 187856, 188695, 205616, 795645, 120772, 439007, 1011238, 119493, 27843, 102751, 123563, 494225, 666890, 264420, 634242, 261562, 423248, 590743, 1026751, 35441, 448729, 938953, 871417]",1048576
35,"[938367, 461491, 539348, 556377, 176761, 427835, 76923, 864951, 534151, 354954, 646689, 416922, 365127, 163512, 205923, 505674, 863670, 435139, 281425, 245520, 226233, 453802, 632066, 604817]",1048576
