task number,first solution time,all solutions time,answers number
25,8.999120,21.641637,1
69,8.884989,23.010841,1
81,5.443344,23.748069,1
101,4.049062,23.965866,1
61,20.536798,24.643507,1
89,16.676986,25.084110,1
109,15.676209,25.405433,1
73,13.512547,26.292498,1
149,12.721532,26.465066,1
157,10.014983,26.592454,1
145,19.486813,26.611505,1
93,13.897117,26.803307,1
9,15.953436,26.922470,1
121,2.353991,26.961692,1
57,24.160284,27.548841,1
17,4.240034,27.657207,1
13,0.293726,27.736627,1
97,10.848940,27.910728,1
21,0.024365,28.977025,1
45,9.793711,29.059528,1
37,15.863891,29.190139,1
129,8.971950,29.273050,1
5,0.234214,29.547193,1
1,0.077933,29.922603,1
133,15.035367,29.881511,1
65,0.752154,30.331097,1
53,19.441246,30.795391,1
29,0.094794,30.965792,1
85,0.620106,31.077187,1
105,12.308482,31.832083,1
153,0.988415,31.892694,1
141,0.009995,32.102961,1
113,12.237379,32.168819,1
117,16.013756,32.719826,1
137,2.694882,32.909131,1
125,3.887915,33.802567,1
49,25.560038,35.080393,1
41,24.115371,38.791490,1
77,13.210033,41.011019,1
33,0.588301,41.163960,1
26,2.048790,22.727003,1
70,5.647039,27.328422,1
146,11.988383,24.073059,1
62,8.136616,27.992340,1
102,1.593785,29.436553,1
2,1.752420,24.919005,1
94,17.833210,28.138334,1
150,15.371610,28.588577,1
10,0.004436,28.702629,1
14,16.350562,28.167333,1
58,18.684016,28.412184,1
110,9.231241,30.986641,1
6,22.516675,27.300376,1
90,5.362218,32.015441,1
18,3.996914,29.538111,1
74,11.115179,31.372462,1
98,2.152159,30.059947,1
158,7.083348,31.358150,1
82,0.225999,34.350696,1
122,0.088419,31.409428,1
134,6.904255,28.750781,1
46,25.563097,30.291896,1
130,17.015007,31.343914,1
114,22.921679,28.886946,1
86,26.643874,30.124206,1
66,3.532227,31.464148,1
54,25.119157,31.105572,1
142,0.512971,29.941171,1
50,1.327719,27.510227,1
126,2.638489,28.883728,1
22,8.128518,33.796455,1
38,3.230512,33.662911,1
154,2.958312,32.408985,1
30,8.660633,33.643993,1
27,0.002619,22.958569,1
138,22.177990,34.549677,1
106,16.934055,35.767428,1
118,1.633008,35.265812,1
78,1.899696,30.150956,1
42,27.599574,32.521240,1
34,10.376958,30.764655,1
71,11.285629,27.172900,1
147,1.255471,31.600120,1
3,0.100597,28.725975,1
63,0.271420,31.298026,1
103,0.033091,31.159318,1
127,5.682781,22.608943,1
151,1.599119,31.609974,1
11,30.620227,31.359954,1
99,7.873436,29.010199,1
123,8.959319,29.644746,1
159,0.001184,30.128630,1
155,4.326976,23.777344,1
111,17.356181,31.790326,1
59,28.537540,32.561963,1
15,29.201274,32.637605,1
19,7.813923,31.535843,1
95,26.357698,35.013724,1
75,4.803503,32.490362,1
28,3.494875,23.056180,1
7,4.877907,33.721934,1
91,24.903698,33.516607,1
135,16.510027,32.246228,1
83,1.599683,33.179576,1
143,3.598145,29.870655,1
23,10.949084,29.201218,1
39,10.828875,29.455003,1
115,1.812246,31.741916,1
31,3.870274,28.302388,1
87,0.006438,31.859269,1
51,15.080949,30.641772,1
55,16.266687,31.557557,1
131,0.746558,33.610019,1
47,19.316789,35.463590,1
79,0.001329,24.433599,1
119,0.000044,29.425275,1
67,4.339517,36.917265,1
139,0.038515,31.560701,1
35,1.624022,30.450037,1
