task number,vector number,target weight,fraction
1,1,842960323,0.08
2,1,3038124475,0.25
3,1,4865986261,0.29
4,1,2930291469,0.42
5,1,3274050421,0.29
6,1,4826295331,0.50
7,1,3097871752,0.38
8,1,1026963261,0.17
9,1,4826363724,0.33
10,1,275029901,0.12
11,2,8910759091,0.50
12,2,3312788324,0.29
13,2,2812640553,0.17
14,2,2051092067,0.12
15,2,6127635971,0.42
16,2,4998307773,0.42
17,2,7614770039,0.50
18,2,5107300622,0.33
19,2,4557117200,0.38
20,2,686093505,0.12
21,3,3170546312,0.21
22,3,1388239761,0.17
23,3,7016670238,0.46
24,3,408427202,0.08
25,3,4076122520,0.29
26,3,1825588136,0.17
27,3,2830763248,0.17
28,3,5971581806,0.33
29,3,1900047722,0.17
30,3,7628370289,0.46
31,4,3742635915,0.25
32,4,1435332864,0.17
33,4,3914232721,0.29
34,4,2593750719,0.38
35,4,3369500981,0.25
36,4,5708544218,0.50
37,4,6250187210,0.46
38,4,6614659533,0.46
39,4,3312022017,0.25
40,4,6787153446,0.50
41,5,4141482619,0.29
42,5,6892720285,0.42
43,5,7441516053,0.42
44,5,5399143045,0.38
45,5,8195729488,0.50
46,5,6380216078,0.38
47,5,4001268952,0.29
48,5,4564884526,0.25
49,5,4656273206,0.38
50,5,1035188446,0.08
51,6,7133900685,0.46
52,6,3181902626,0.25
53,6,5634797987,0.42
54,6,8529961584,0.50
55,6,3021215721,0.17
56,6,2446485951,0.17
57,6,4357453436,0.33
58,6,6881940666,0.50
59,6,6643147314,0.46
60,6,1998858288,0.17
61,7,3706675695,0.25
62,7,7408043884,0.50
63,7,2916898135,0.25
64,7,4211950314,0.29
65,7,4089213636,0.33
66,7,3392859458,0.29
67,7,5627234096,0.38
68,7,208933363,0.08
69,7,7210606189,0.50
70,7,5612681030,0.38
71,8,7923599060,0.46
72,8,1634137763,0.17
73,8,1106446829,0.17
74,8,6506850691,0.46
75,8,3683297309,0.29
76,8,1898424406,0.17
77,8,5079739295,0.38
78,8,3883638628,0.25
79,8,176579028,0.08
80,8,7406410211,0.42
81,9,3043177097,0.29
82,9,4790062523,0.33
83,9,3934253604,0.38
84,9,3545587922,0.33
85,9,2917595500,0.29
86,9,4517340276,0.50
87,9,475310461,0.08
88,9,1748985812,0.17
89,9,7014542792,0.50
90,9,5763270057,0.50
91,10,3470884054,0.29
92,10,4083716236,0.33
93,10,3797593606,0.29
94,10,5347831483,0.46
95,10,7252297625,0.46
96,10,5661192442,0.42
97,10,6339516264,0.50
98,10,6421542577,0.42
99,10,8454802284,0.50
100,10,3443964929,0.25
101,11,8040297171,0.46
102,11,5032606818,0.33
103,11,2024304237,0.12
104,11,3679566796,0.21
105,11,8382330346,0.50
106,11,4099276124,0.25
107,11,1382974660,0.08
108,11,2925983048,0.21
109,11,5043330803,0.33
110,11,3921360527,0.25
111,12,4389662829,0.33
112,12,4746439089,0.38
113,12,4690082534,0.42
114,12,7788004974,0.42
115,12,1241565086,0.08
116,12,7426693007,0.50
117,12,6733151969,0.50
118,12,2761529462,0.25
119,12,502364498,0.08
120,12,7542405309,0.46
121,13,4180419879,0.42
122,13,351409914,0.12
123,13,4640396194,0.38
124,13,3660755865,0.29
125,13,4985936510,0.46
126,13,5396359477,0.42
127,13,4340371549,0.42
128,13,1954447199,0.33
129,13,3193905117,0.38
130,13,5121824029,0.50
131,14,3388603010,0.25
132,14,5020018837,0.33
133,14,4298054281,0.29
134,14,1873966310,0.12
135,14,4233126577,0.25
136,14,2631817540,0.12
137,14,3627738479,0.29
138,14,6285585001,0.50
139,14,708273986,0.08
140,14,5525206182,0.33
141,15,1008085608,0.12
142,15,3792600475,0.25
143,15,2356134718,0.12
144,15,4890695644,0.29
145,15,5547841662,0.50
146,15,146227224,0.08
147,15,7056280605,0.50
148,15,2878241438,0.25
149,15,5895275638,0.42
150,15,3812833376,0.29
151,16,3503756605,0.29
152,16,4029430744,0.25
153,16,3313150202,0.17
154,16,4456350627,0.42
155,16,6905197745,0.50
156,16,501533364,0.08
157,16,5391134652,0.38
158,16,5592363089,0.46
159,16,1395446374,0.08
160,16,4640813750,0.33
161,17,4122194908,0.29
162,17,4448919448,0.29
163,17,2582585445,0.21
164,17,3755996057,0.21
165,17,2175232075,0.12
166,17,2321459553,0.12
167,17,6073573639,0.46
168,17,1707458771,0.12
169,17,6016000621,0.42
170,17,3838001189,0.25
171,18,1916523547,0.12
172,18,3635722043,0.33
173,18,4472932455,0.42
174,18,894988512,0.08
175,18,4323873542,0.50
176,18,4699653730,0.46
177,18,5991806375,0.42
178,18,4679380963,0.42
179,18,3169939828,0.21
180,18,2697605877,0.25
181,19,4758479229,0.38
182,19,700252773,0.08
183,19,7418976289,0.50
184,19,7119364701,0.46
185,19,3504763166,0.21
186,19,7746455558,0.50
187,19,7358135365,0.42
188,19,4083006867,0.29
189,19,2163651062,0.17
190,19,5316352286,0.29
191,20,1761985482,0.17
192,20,3250078495,0.29
193,20,4987059743,0.50
194,20,5732698396,0.42
195,20,1582567219,0.17
196,20,2515757824,0.25
197,20,2791527276,0.29
198,20,3610599711,0.29
199,20,2964627344,0.29
200,20,2124008531,0.21
201,21,2248790042,0.21
202,21,3966754792,0.38
203,21,3016971507,0.25
204,21,2898221557,0.21
205,21,6415925141,0.50
206,21,1509314146,0.08
207,21,4396347074,0.50
208,21,3155782327,0.29
209,21,3328795009,0.29
210,21,284372860,0.08
211,22,8109396184,0.46
212,22,4060862084,0.29
213,22,600787154,0.12
214,22,3304678740,0.29
215,22,7068968394,0.46
216,22,4080266503,0.29
217,22,1789347402,0.12
218,22,4505225195,0.33
219,22,6596234774,0.46
220,22,3135553685,0.29
221,23,5557054971,0.50
222,23,7165552808,0.50
223,23,6185734547,0.50
224,23,4335093384,0.33
225,23,4958559506,0.46
226,23,1977356352,0.17
227,23,4041729790,0.29
228,23,1260646546,0.08
229,23,2032402310,0.29
230,23,4178628322,0.29
231,24,1809577343,0.21
232,24,5859262610,0.46
233,24,2498521902,0.17
234,24,6133143925,0.50
235,24,2821464146,0.25
236,24,5805242611,0.42
237,24,5844919455,0.46
238,24,580100018,0.12
239,24,1564941126,0.21
240,24,947464128,0.17
241,25,5137365426,0.33
242,25,5317425429,0.42
243,25,1758036661,0.21
244,25,3000849657,0.33
245,25,2390205069,0.12
246,25,7250819647,0.38
247,25,5033635275,0.33
248,25,3508422374,0.25
249,25,8022549822,0.46
250,25,433076678,0.08
251,26,3455475128,0.42
252,26,2219878204,0.21
253,26,2462076730,0.25
254,26,4065979997,0.38
255,26,750858190,0.08
256,26,5745413898,0.46
257,26,4771120609,0.42
258,26,4306164599,0.42
259,26,4412372400,0.33
260,26,5019119199,0.42
261,27,3086074775,0.29
262,27,3588263181,0.29
263,27,2201014639,0.21
264,27,332626897,0.08
265,27,2550121202,0.21
266,27,1235137203,0.08
267,27,6186358916,0.46
268,27,1998912749,0.21
269,27,5998370615,0.50
270,27,2020210747,0.21
271,28,4996922742,0.46
272,28,3372878568,0.33
273,28,4348881488,0.42
274,28,3028997250,0.25
275,28,1983378805,0.12
276,28,2638956386,0.17
277,28,6175061174,0.46
278,28,2938917974,0.38
279,28,3122349516,0.25
280,28,3817139193,0.29
281,29,2867361829,0.17
282,29,2939536543,0.21
283,29,6889236069,0.50
284,29,6577210488,0.46
285,29,4230644247,0.21
286,29,1432741932,0.08
287,29,8160169623,0.50
288,29,2040544998,0.12
289,29,7286988510,0.50
290,29,5507295031,0.38
291,30,431012117,0.08
292,30,3255980502,0.38
293,30,2759871185,0.21
294,30,6931861332,0.50
295,30,513029717,0.08
296,30,2103866170,0.21
297,30,2667378657,0.21
298,30,3858674450,0.29
299,30,1484338554,0.21
300,30,3599023008,0.38
301,31,5306647343,0.42
302,31,4550424320,0.33
303,31,3699396584,0.33
304,31,2062711425,0.17
305,31,3330650526,0.29
306,31,4703704498,0.33
307,31,4346562508,0.25
308,31,5229258163,0.42
309,31,6129137509,0.46
310,31,5964789231,0.46
311,32,1790236551,0.08
312,32,1714730202,0.08
313,32,8696341870,0.46
314,32,5917048500,0.46
315,32,2407046693,0.29
316,32,6020313801,0.46
317,32,6852629037,0.50
318,32,2279848515,0.12
319,32,3421188683,0.33
320,32,1483811599,0.08
321,33,2517078118,0.21
322,33,5907600568,0.38
323,33,3933127285,0.29
324,33,1894808053,0.12
325,33,5234391346,0.29
326,33,1639523216,0.12
327,33,3766502496,0.25
328,33,5144431529,0.33
329,33,6207578170,0.42
330,33,6835137360,0.50
331,34,5553408010,0.46
332,34,3239414953,0.21
333,34,4535407461,0.38
334,34,2030158695,0.29
335,34,882016880,0.08
336,34,1824349414,0.21
337,34,4858729461,0.46
338,34,1047508437,0.08
339,34,5700733073,0.46
340,34,2497713507,0.17
341,35,4524003898,0.38
342,35,5010418221,0.38
343,35,1578359267,0.12
344,35,4994180630,0.42
345,35,1889827308,0.17
346,35,1986517436,0.17
347,35,1203824908,0.17
348,35,4638075514,0.38
349,35,7124468191,0.46
350,35,1589948881,0.21
351,36,9012912562,0.50
352,36,5412686568,0.33
353,36,3797043425,0.25
354,36,4438477952,0.25
355,36,8431174020,0.50
356,36,1247304946,0.08
357,36,1424195410,0.12
358,36,5841254157,0.33
359,36,5763322003,0.38
360,36,1731225245,0.08
361,37,4966197940,0.42
362,37,2214872204,0.21
363,37,2212379241,0.21
364,37,2236016575,0.17
365,37,2943570243,0.33
366,37,3971252048,0.38
367,37,1878316886,0.17
368,37,1996799562,0.17
369,37,1748007889,0.17
370,37,4969513587,0.42
371,38,6467486323,0.50
372,38,1512371117,0.12
373,38,4010318549,0.21
374,38,3192550825,0.17
375,38,5347500066,0.38
376,38,5771619790,0.42
377,38,5541935652,0.38
378,38,3927586182,0.33
379,38,1038547927,0.08
380,38,7123512825,0.50
381,39,1054854149,0.08
382,39,4241642862,0.33
383,39,5223178983,0.46
384,39,2633955811,0.21
385,39,2461998871,0.25
386,39,3163700843,0.29
387,39,4536788844,0.33
388,39,5212483624,0.46
389,39,5685162840,0.42
390,39,4054653893,0.29
391,40,1836185796,0.17
392,40,5901647501,0.42
393,40,3028296895,0.25
394,40,4784194404,0.46
395,40,5222802835,0.33
396,40,904941151,0.08
397,40,3298745681,0.25
398,40,4652977777,0.38
399,40,1129155737,0.12
400,40,3353175866,0.33
401,41,7373613475,0.42
402,41,5106475405,0.33
403,41,7719821483,0.50
404,41,5650371713,0.33
405,41,4873312116,0.33
406,41,6461585529,0.46
407,41,5862377173,0.38
408,41,6514904262,0.38
409,41,5196867565,0.38
410,41,5576980729,0.38
411,42,2186386820,0.12
412,42,4761844254,0.38
413,42,779485438,0.08
414,42,3324941688,0.42
415,42,2050884353,0.17
416,42,1059687853,0.12
417,42,5091220348,0.42
418,42,1141748497,0.12
419,42,2078033861,0.21
420,42,2378199848,0.29
421,43,5303860601,0.42
422,43,3766929214,0.29
423,43,6295491747,0.50
424,43,6100036586,0.38
425,43,2583114468,0.21
426,43,2248296261,0.12
427,43,4091154995,0.29
428,43,2425048301,0.17
429,43,6448189026,0.42
430,43,7092279809,0.50
431,44,5784289190,0.38
432,44,1527047348,0.17
433,44,3903030535,0.29
434,44,5661433206,0.33
435,44,6170591096,0.50
436,44,5713274714,0.38
437,44,2027417302,0.17
438,44,4551480604,0.42
439,44,4172306691,0.25
440,44,1001928354,0.08
441,45,2948721202,0.29
442,45,3494636988,0.25
443,45,2691874645,0.17
444,45,4102072219,0.25
445,45,1589609970,0.12
446,45,2855133200,0.17
447,45,6693079972,0.42
448,45,4108476129,0.25
449,45,360880105,0.08
450,45,3612647353,0.33
451,46,5302787986,0.42
452,46,1639693166,0.21
453,46,4918816235,0.38
454,46,2232799467,0.17
455,46,2474797484,0.29
456,46,3594972544,0.29
457,46,1326989526,0.08
458,46,5134881696,0.33
459,46,3740693490,0.33
460,46,1230252528,0.17
461,47,5499432904,0.42
462,47,1318728324,0.12
463,47,6484757119,0.50
464,47,3769746907,0.33
465,47,3847843800,0.46
466,47,3485491781,0.33
467,47,563402724,0.08
468,47,1738645247,0.17
469,47,4204348494,0.42
470,47,1966150031,0.25
471,48,3760237497,0.29
472,48,7299235818,0.50
473,48,3585520290,0.25
474,48,4671797111,0.46
475,48,6517187547,0.50
476,48,2480695259,0.25
477,48,2276039004,0.25
478,48,7065563217,0.50
479,48,267709265,0.08
480,48,1000352396,0.17
481,49,1659523992,0.12
482,49,3778723989,0.33
483,49,1819433559,0.17
484,49,6123614875,0.46
485,49,2939177828,0.21
486,49,6775515761,0.42
487,49,6829827705,0.50
488,49,6015739762,0.42
489,49,3275038544,0.17
490,49,1550221209,0.12
491,50,1333393658,0.17
492,50,922985534,0.08
493,50,4975114901,0.50
494,50,5214745783,0.33
495,50,7148514452,0.50
496,50,5880487001,0.38
497,50,2446295125,0.21
498,50,6325483195,0.50
499,50,7364877398,0.50
500,50,2992967177,0.29
