task number,solution time,fitness minimum,stop reason,generations number
73,0.369809,0,Найдено точное решение,45
141,0.271572,0,Найдено точное решение,42
1,0.996326,0,Найдено точное решение,118
21,1.118826,0,Найдено точное решение,190
137,2.078542,0,Найдено точное решение,213
142,2.186991,0,Найдено точное решение,338
29,2.847948,0,Найдено точное решение,362
22,1.757423,0,Найдено точное решение,286
49,3.511775,1917373,Нет улучшений на последних двух итерациях,500
50,0.363715,0,Найдено точное решение,58
145,3.789272,3166883,Нет улучшений на последних двух итерациях,533
57,4.101194,2556969,Нет улучшений на последних двух итерациях,530
65,3.981812,286022,Нет улучшений на последних двух итерациях,536
89,4.039731,78031,Нет улучшений на последних двух итерациях,583
146,0.218647,0,Найдено точное решение,27
109,4.288262,908643,Нет улучшений на последних двух итерациях,527
121,4.626311,2073730,Нет улучшений на последних двух итерациях,526
61,4.861421,1278819,Нет улучшений на последних двух итерациях,649
53,4.954223,325370,Нет улучшений на последних двух итерациях,602
101,4.772991,980707,Нет улучшений на последних двух итерациях,594
2,4.181239,230202,Нет улучшений на последних двух итерациях,602
129,4.869410,1988048,Нет улучшений на последних двух итерациях,537
5,5.253146,7955,Нет улучшений на последних двух итерациях,725
17,5.267317,1136145,Нет улучшений на последних двух итерациях,573
102,0.228313,0,Найдено точное решение,32
41,5.313594,2199407,Нет улучшений на последних двух итерациях,717
122,0.399994,0,Найдено точное решение,44
69,5.239083,641351,Нет улучшений на последних двух итерациях,611
77,5.309993,875090,Нет улучшений на последних двух итерациях,521
33,5.635112,274456,Нет улучшений на последних двух итерациях,631
85,5.391541,348418,Нет улучшений на последних двух итерациях,506
45,5.885731,432825,Нет улучшений на последних двух итерациях,718
157,5.668594,1099969,Нет улучшений на последних двух итерациях,544
138,3.695611,2028721,Нет улучшений на последних двух итерациях,505
117,6.015051,1106078,Нет улучшений на последних двух итерациях,718
139,0.274755,0,Найдено точное решение,38
153,6.039147,2630555,Нет улучшений на последних двух итерациях,788
93,6.290420,4645342,Нет улучшений на последних двух итерациях,733
113,6.378146,2934871,Нет улучшений на последних двух итерациях,561
25,6.688629,0,Найдено точное решение,574
133,6.517792,2227536,Нет улучшений на последних двух итерациях,772
103,1.674265,0,Найдено точное решение,211
81,6.789876,953245,Нет улучшений на последних двух итерациях,659
74,6.452984,1311219,Нет улучшений на последних двух итерациях,626
97,6.891602,2683300,Нет улучшений на последних двух итерациях,757
30,4.512617,264421,Нет улучшений на последних двух итерациях,601
26,0.774834,0,Найдено точное решение,90
75,0.438194,0,Найдено точное решение,57
125,7.324226,43894,Нет улучшений на последних двух итерациях,685
134,0.820032,0,Найдено точное решение,129
105,7.425236,2634523,Нет улучшений на последних двух итерациях,680
23,4.899209,2176735,Нет улучшений на последних двух итерациях,754
114,1.125234,0,Найдено точное решение,136
78,2.374518,0,Найдено точное решение,285
13,7.932863,663868,Нет улучшений на последних двух итерациях,796
24,0.192158,0,Найдено точное решение,30
34,2.435268,0,Найдено точное решение,284
110,3.515625,5453643,Нет улучшений на последних двух итерациях,520
79,0.272884,0,Найдено точное решение,28
147,3.993848,458782,Нет улучшений на последних двух итерациях,559
115,0.615978,0,Найдено точное решение,85
116,0.110713,0,Найдено точное решение,14
143,5.860259,1340093,Нет улучшений на последних двух итерациях,702
76,1.491915,0,Найдено точное решение,169
62,4.145571,433499,Нет улучшений на последних двух итерациях,534
165,0.710534,0,Найдено точное решение,87
58,5.252566,1023287,Нет улучшений на последних двух итерациях,576
66,5.262789,1091910,Нет улучшений на последних двух итерациях,539
149,9.094930,13226239,Достигнуто максимальное число поколений,1000
54,4.473306,240689,Нет улучшений на последних двух итерациях,602
130,4.446288,568085,Нет улучшений на последних двух итерациях,537
123,4.520011,960304,Нет улучшений на последних двух итерациях,599
51,5.942079,1238010,Нет улучшений на последних двух итерациях,849
37,10.117484,2652028,Достигнуто максимальное число поколений,1000
6,4.920732,219473,Нет улучшений на последних двух итерациях,743
14,2.388100,0,Найдено точное решение,281
140,4.052788,342863,Нет улучшений на последних двух итерациях,587
135,3.051139,0,Найдено точное решение,444
148,2.471191,0,Найдено точное решение,366
94,4.418324,1137249,Нет улучшений на последних двух итерациях,597
