number,vector,amax
1,"[10735284, 2719740, 13549294, 10179223, 9677471, 881331, 16255150, 6457463, 15174555, 7422317, 4011431, 10746314, 9577961, 1194572, 7244456, 2211430, 16477740, 13966837, 6763649, 7177471, 8667349, 1692572, 1823074, 5814897]",16777216
2,"[5017637, 5992450, 1475123, 14842736, 6494407, 11943715, 13083947, 3738736, 10219753, 6088872, 8353341, 12393622, 4109248, 12503884, 4313438, 5011019, 6783320, 16593925, 11603519, 3156350, 105340, 2723796, 10322959, 10806772]",16777216
3,"[9680611, 6966224, 14556881, 7186948, 14261833, 8370139, 10921564, 399617, 11813510, 4906165, 2210351, 6371823, 2436187, 11712984, 7366908, 14521621, 11302412, 10431007, 2827835, 7436406, 3125409, 7455714, 6560819, 12055416]",16777216
4,"[5097819, 15463386, 12007687, 15538463, 9529559, 2668087, 14453982, 5647502, 11724657, 1172089, 8686930, 2469859, 5932938, 9486828, 4343934, 7457119, 15493900, 5691999, 12745140, 12010158, 6976117, 1366529, 7718522, 16541188]",16777216
5,"[5596367, 12483079, 9571853, 14838283, 83449, 2529947, 10568489, 15464145, 1525867, 9709975, 8400376, 11883624, 3753168, 13612680, 1035746, 5805996, 13602887, 6530690, 14797788, 1204325, 11893002, 14646528, 14740513, 5565719]",16777216
6,"[8767425, 14781720, 933530, 2754158, 10409982, 8782763, 14695662, 8774009, 5112006, 13581851, 5654711, 15745745, 9130899, 1492372, 7705796, 6980238, 1472219, 16438292, 3099427, 3278583, 15723613, 15015389, 10351415, 6814411]",16777216
7,"[8710904, 12828744, 747235, 12812138, 2502339, 7619326, 13575221, 1697377, 16322702, 11552497, 3572845, 12359328, 3093015, 4548542, 6451826, 8582713, 13357999, 13408956, 1143978, 6909437, 9315257, 7057851, 14765785, 16689037]",16777216
8,"[405518, 9151864, 6516929, 12783343, 10873035, 15326200, 16651715, 5211978, 14826064, 716925, 14381556, 10851910, 507702, 13529787, 13075511, 12263395, 12041345, 82529, 6048215, 1604354, 13282480, 12329616, 10525667, 1504440]",16777216
9,"[1104111, 1611908, 11398891, 2135559, 5035972, 6380011, 3985481, 13130619, 14177898, 1275110, 3479088, 11595395, 4644691, 1794519, 14695150, 10236165, 15723956, 8349121, 2705830, 11136515, 11665099, 7554195, 8036425, 5392231]",16777216
10,"[7823814, 10299328, 6289570, 2167310, 8734432, 2279849, 3657186, 15282822, 15420348, 7871754, 14946179, 16085868, 1076853, 4799446, 16642968, 15181470, 5902624, 3026503, 7929369, 7240958, 3517692, 3316100, 14114329, 2225129]",16777216
11,"[3800168, 4839589, 8833636, 9746258, 6406079, 15764076, 4571093, 7252007, 11412139, 12653110, 15361769, 760270, 4371361, 8005545, 14754725, 9173291, 3761880, 12062420, 15294495, 5989790, 5745280, 7208504, 5741450, 9578864]",16777216
12,"[10810497, 5674486, 1781697, 9988487, 15486856, 1692646, 16484161, 15027502, 1829064, 3947797, 5720690, 11661307, 13048339, 11935013, 7381571, 16212139, 2377014, 825515, 14313484, 10571018, 697492, 1639052, 8663887, 12769306]",16777216
13,"[5614813, 716478, 8776809, 10952168, 16494812, 2092328, 3333221, 1218558, 4584203, 5781718, 13676268, 3177865, 9869417, 10465792, 4795559, 10247681, 16287807, 8911789, 14696241, 6571063, 7765703, 5468880, 8084779, 54644]",16777216
14,"[11723061, 10679798, 14446486, 5337742, 15566177, 9957815, 4803903, 4461822, 2461529, 7408326, 376417, 3774697, 1672138, 14895634, 9576177, 14275340, 10680951, 6336644, 977024, 5058395, 639947, 5919201, 11692156, 7932784]",16777216
15,"[12878523, 4508525, 7964920, 11642021, 2273346, 16738774, 4724826, 8632820, 434019, 6149514, 1927206, 9121003, 2592979, 11121628, 1473596, 1917768, 3530862, 6834109, 1027438, 2988462, 4955308, 7513500, 16321989, 5843316]",16777216
16,"[5470393, 10275264, 8085021, 9727696, 6032913, 6582244, 5689926, 5991647, 4738133, 15968421, 286816, 14268419, 10697043, 4046465, 11008120, 3276584, 9495123, 15331473, 9324890, 15708004, 15448600, 7552273, 9709505, 3968567]",16777216
17,"[3854921, 9850086, 2866389, 7332450, 2872470, 10628320, 15501870, 12522171, 8208668, 15366148, 12652620, 421835, 11577766, 845440, 3820613, 6130426, 9324593, 11151187, 7595327, 11808683, 12593340, 15624263, 12255029, 8017383]",16777216
18,"[8084252, 16144846, 3363831, 10589406, 12425895, 16372398, 15877707, 4377181, 8886424, 6861371, 1525701, 6043248, 3800678, 13633322, 11915920, 5606378, 14063899, 15892042, 13617368, 579398, 7013703, 7325589, 6222031, 15281235]",16777216
