task number,solution time,fitness minimum,stop reason,generations number
101,0.231680,0,Найдено точное решение,12
157,0.174248,0,Найдено точное решение,7
69,0.505347,0,Найдено точное решение,59
61,0.531307,0,Найдено точное решение,48
89,0.809054,0,Найдено точное решение,101
49,0.853287,0,Найдено точное решение,58
85,0.832499,0,Найдено точное решение,90
9,1.302426,0,Найдено точное решение,133
129,1.341699,0,Найдено точное решение,184
33,1.915207,0,Найдено точное решение,204
137,2.365125,0,Найдено точное решение,371
65,2.851712,0,Найдено точное решение,258
1,3.182291,0,Найдено точное решение,341
17,3.209290,12004,Нет улучшений на последних двух итерациях,501
21,4.551626,31132,Нет улучшений на последних двух итерациях,644
41,4.350263,26113,Нет улучшений на последних двух итерациях,532
25,4.613693,22135,Нет улучшений на последних двух итерациях,584
26,0.017709,0,Найдено точное решение,2
5,4.802825,40511,Нет улучшений на последних двух итерациях,525
70,4.125374,20314,Нет улучшений на последних двух итерациях,548
130,3.297848,0,Найдено точное решение,397
45,4.943979,8587,Нет улучшений на последних двух итерациях,520
93,4.898289,10403,Нет улучшений на последних двух итерациях,548
29,5.166066,7153,Нет улучшений на последних двух итерациях,702
141,4.926878,44999,Нет улучшений на последних двух итерациях,528
13,5.463572,4444,Нет улучшений на последних двух итерациях,642
53,5.277862,15639,Нет улучшений на последних двух итерациях,721
10,4.226254,13177,Нет улучшений на последних двух итерациях,518
62,5.190833,8850,Нет улучшений на последних двух итерациях,527
50,4.952004,10130,Нет улучшений на последних двух итерациях,567
109,5.752359,7911,Нет улучшений на последних двух итерациях,607
71,1.358094,0,Найдено точное решение,210
90,5.313871,4188,Нет улучшений на последних двух итерациях,755
6,1.886295,0,Найдено точное решение,243
73,6.485538,32317,Нет улучшений на последних двух итерациях,713
97,6.475452,27540,Нет улучшений на последних двух итерациях,673
153,6.280565,9944,Нет улучшений на последних двух итерациях,661
34,4.977671,16797,Нет улучшений на последних двух итерациях,529
86,5.909741,6035,Нет улучшений на последних двух итерациях,573
18,3.792539,67947,Нет улучшений на последних двух итерациях,516
37,6.811788,13086,Нет улучшений на последних двух итерациях,776
105,6.845914,37739,Нет улучшений на последних двух итерациях,519
158,6.621056,16383,Нет улучшений на последних двух итерациях,749
66,4.344165,8537,Нет улучшений на последних двух итерациях,535
142,2.245734,0,Найдено точное решение,241
35,0.813695,0,Найдено точное решение,82
27,3.233149,3720,Нет улучшений на последних двух итерациях,502
22,3.640680,31157,Нет улучшений на последних двух итерациях,564
102,7.674774,30125,Нет улучшений на последних двух итерациях,743
77,8.192796,13025,Нет улучшений на последних двух итерациях,884
2,5.347279,18449,Нет улучшений на последних двух итерациях,522
125,8.074661,53593,Нет улучшений на последних двух итерациях,596
113,8.262192,29454,Нет улучшений на последних двух итерациях,580
133,8.469031,15862,Нет улучшений на последних двух итерациях,629
30,3.772228,55557,Нет улучшений на последних двух итерациях,542
54,3.460747,1251,Нет улучшений на последних двух итерациях,528
121,8.555299,11181,Нет улучшений на последних двух итерациях,722
57,8.842047,1110,Нет улучшений на последних двух итерациях,928
81,8.963458,3562,Нет улучшений на последних двух итерациях,942
42,4.795446,30900,Нет улучшений на последних двух итерациях,535
149,9.059502,20673,Нет улучшений на последних двух итерациях,636
122,0.670215,0,Найдено точное решение,87
134,0.781113,0,Найдено точное решение,57
145,9.312308,28,Нет улучшений на последних двух итерациях,657
14,4.476641,0,Найдено точное решение,398
87,3.080924,0,Найдено точное решение,340
138,7.281395,1950,Достигнуто максимальное число поколений,1000
110,3.997182,6389,Нет улучшений на последних двух итерациях,531
131,5.043604,12458,Нет улучшений на последних двух итерациях,663
72,4.103722,10503,Нет улучшений на последних двух итерациях,621
91,4.134769,2701,Нет улучшений на последних двух итерациях,602
46,5.538930,182,Нет улучшений на последних двух итерациях,582
7,4.044464,20145,Нет улучшений на последних двух итерациях,512
19,3.865519,15489,Нет улучшений на последних двух итерациях,576
58,1.895186,0,Найдено точное решение,238
94,5.971290,1902,Нет улучшений на последних двух итерациях,557
106,4.005219,0,Найдено точное решение,291
132,1.453855,0,Найдено точное решение,170
28,3.826729,37321,Нет улучшений на последних двух итерациях,571
51,5.763860,9370,Нет улучшений на последних двух итерациях,684
159,4.598565,5094,Нет улучшений на последних двух итерациях,602
67,4.538664,33859,Нет улучшений на последних двух итерациях,574
63,6.117673,54719,Нет улучшений на последних двух итерациях,514
126,3.872423,0,Найдено точное решение,423
146,2.728369,0,Найдено точное решение,203
114,3.877067,3039,Нет улучшений на последних двух итерациях,527
68,0.622583,0,Найдено точное решение,83
78,4.233791,2678,Нет улучшений на последних двух итерациях,536
52,1.023817,0,Найдено точное решение,157
117,12.465369,5551,Нет улучшений на последних двух итерациях,905
55,4.082145,107389,Нет улучшений на последних двух итерациях,612
74,6.690108,769,Нет улучшений на последних двух итерациях,729
23,5.348743,19043,Нет улучшений на последних двух итерациях,775
135,3.850973,0,Найдено точное решение,287
11,8.031475,31146,Нет улучшений на последних двух итерациях,997
38,6.575237,3292,Нет улучшений на последних двух итерациях,853
43,4.268616,0,Найдено точное решение,562
103,5.559502,24550,Нет улучшений на последних двух итерациях,600
115,1.249108,0,Найдено точное решение,164
98,7.088560,31264,Нет улучшений на последних двух итерациях,538
123,4.207194,101606,Нет улучшений на последних двух итерациях,566
161,3.691469,26,Нет улучшений на последних двух итерациях,552
36,6.514341,18694,Нет улучшений на последних двух итерациях,721
92,3.990535,0,Найдено точное решение,611
20,3.817990,119829,Нет улучшений на последних двух итерациях,561
104,0.976218,0,Найдено точное решение,107
8,4.329769,6649,Нет улучшений на последних двух итерациях,518
88,4.984750,11933,Нет улучшений на последних двух итерациях,526
197,0.244952,0,Найдено точное решение,36
3,6.973273,2284,Нет улучшений на последних двух итерациях,605
82,6.301994,15438,Нет улучшений на последних двух итерациях,824
160,3.881384,3888,Нет улучшений на последних двух итерациях,508
59,4.898252,13475,Нет улучшений на последних двух итерациях,530
139,6.018037,11202,Нет улучшений на последних двух итерациях,786
15,6.356169,2979,Нет улучшений на последних двух итерациях,614
107,5.085212,8643,Нет улучшений на последних двух итерациях,513
39,2.755885,0,Найдено точное решение,218
56,3.349245,17861,Нет улучшений на последних двух итерациях,504
40,0.113956,0,Найдено точное решение,7
150,7.028506,10360,Нет улучшений на последних двух итерациях,555
31,7.674165,46492,Нет улучшений на последних двух итерациях,578
165,5.053969,4685,Нет улучшений на последних двух итерациях,623
4,1.744375,0,Найдено точное решение,140
47,6.620814,36238,Нет улучшений на последних двух итерациях,679
64,5.269694,2820,Нет улучшений на последних двух итерациях,540
108,1.089770,0,Найдено точное решение,144
