task number,first solution time,all solutions time,answers number
141,6.340393,25.226795,1
133,4.719698,25.432498,1
145,22.234803,25.826475,1
81,7.204999,26.020392,1
25,13.675171,26.084999,1
17,8.822431,26.496731,2
101,0.618463,26.515141,1
93,14.002270,26.602653,1
109,11.826884,27.051705,1
117,12.501801,27.077648,1
37,11.643383,27.218851,1
149,8.541027,27.163976,1
153,21.466146,27.588467,1
121,4.850289,27.835334,1
61,1.676816,28.189448,1
113,13.745601,28.355314,2
125,16.717385,28.475198,1
73,9.000518,28.531549,2
57,5.353926,28.610216,1
45,1.935723,28.678257,1
89,0.004379,28.679151,1
69,0.337238,28.822150,1
77,24.457247,28.825045,1
41,15.479073,28.871905,1
85,7.400713,28.889690,2
33,15.401752,29.132758,1
105,5.171285,29.524036,3
9,0.000131,29.534281,1
53,23.655756,30.261183,1
137,8.167571,30.534434,1
65,1.259744,30.622546,1
49,18.081014,30.969842,1
129,1.363698,31.182366,1
29,5.639422,31.648962,1
97,0.769916,32.452206,1
21,28.242924,32.686196,1
13,26.676356,33.620068,1
1,0.077778,38.408635,1
5,15.324629,38.840337,1
157,4.634970,38.922642,2
82,1.046625,25.181711,1
26,4.561665,26.564358,1
146,0.005341,26.829260,1
110,2.583681,25.947471,1
74,19.948680,24.716922,1
126,0.024004,24.829235,1
102,8.558527,27.274331,1
62,0.569588,25.755326,1
94,4.655699,28.013347,1
150,16.266100,27.627890,1
90,3.977048,26.208375,1
154,4.214666,27.798916,2
78,4.295283,26.908901,1
42,1.584074,27.792083,1
46,2.589422,28.539697,1
34,6.945831,28.145975,1
106,1.087022,28.083519,1
66,16.577181,26.994736,1
38,15.235414,30.657404,1
86,10.030158,29.064578,1
14,0.160325,24.496851,1
142,24.344748,33.565978,1
130,0.042593,27.812185,1
118,16.135149,32.208268,1
134,0.000293,34.669572,1
114,13.215952,32.193929,2
10,0.051787,31.223924,1
58,0.523563,32.189385,1
22,18.959669,28.283961,1
18,27.628616,34.686816,1
30,12.976412,30.000898,3
50,19.463490,30.720808,2
98,25.580873,29.266496,1
70,9.793804,34.062929,1
122,6.675996,35.167245,3
54,19.878279,33.046087,1
138,30.966285,34.036937,1
6,16.066486,30.530104,1
158,19.242054,31.724810,2
2,6.991459,33.376168,1
83,24.429356,25.947890,1
147,6.649022,25.406754,1
75,22.069387,25.105877,1
127,3.880733,25.436829,1
91,17.684184,24.357902,1
27,0.082216,27.183768,1
63,0.217571,26.749550,1
103,8.481954,27.957397,2
111,2.613890,28.959259,1
143,0.079031,23.314719,1
151,0.001682,27.356737,1
87,4.097158,24.887959,1
79,23.125094,27.615305,1
135,0.038000,25.109016,1
95,0.716189,31.703258,1
59,1.482597,25.955676,3
67,13.049421,29.172929,1
11,4.542991,27.242763,2
139,0.447299,23.725399,1
15,1.512268,30.638089,1
119,23.572361,29.772950,1
39,12.280677,31.304095,1
43,0.027979,33.271199,1
19,3.635750,29.231487,1
107,12.150470,32.970012,1
51,22.919271,29.194234,2
71,0.000156,28.064664,1
31,8.671921,30.403906,1
47,6.677666,35.175088,1
35,0.362622,35.669634,1
123,0.056681,30.835252,1
55,0.858983,30.906769,1
