task number,vector number,target weight,fraction
1,1,22935203,0.08
2,1,72695004,0.38
3,1,52409425,0.21
4,1,28801218,0.17
5,1,49302192,0.29
6,1,94719987,0.50
7,1,67031529,0.29
8,1,76527655,0.42
9,1,16134934,0.08
10,1,78675296,0.38
11,2,67502529,0.38
12,2,70391258,0.33
13,2,72238563,0.42
14,2,31436661,0.08
15,2,60365393,0.38
16,2,64687952,0.33
17,2,79531631,0.50
18,2,102211778,0.46
19,2,90210123,0.46
20,2,49722969,0.29
21,3,50568819,0.29
22,3,67636201,0.42
23,3,84590365,0.38
24,3,67299433,0.33
25,3,43999539,0.17
26,3,75355438,0.33
27,3,46612780,0.29
28,3,104674001,0.50
29,3,71344237,0.33
30,3,95486892,0.46
31,4,94582325,0.46
32,4,17416656,0.08
33,4,23553209,0.12
34,4,61827817,0.33
35,4,12505792,0.12
36,4,74944222,0.33
37,4,61462832,0.38
38,4,77711949,0.33
39,4,31360628,0.17
40,4,10789818,0.08
41,5,68375466,0.29
42,5,81058165,0.42
43,5,41738689,0.33
44,5,58565394,0.25
45,5,34733079,0.21
46,5,96673597,0.50
47,5,87371469,0.29
48,5,31154114,0.21
49,5,81234521,0.42
50,5,85992668,0.46
51,6,93119969,0.50
52,6,27650338,0.12
53,6,90170620,0.38
54,6,106104791,0.46
55,6,42839770,0.25
56,6,56344072,0.21
57,6,105217183,0.50
58,6,16681278,0.08
59,6,96328059,0.50
60,6,93135103,0.50
61,7,25658146,0.17
62,7,54915773,0.25
63,7,30241247,0.17
64,7,62891382,0.25
65,7,50771200,0.29
66,7,91405537,0.38
67,7,71214115,0.29
68,7,10280090,0.08
69,7,11168649,0.12
70,7,90702955,0.38
71,8,20880771,0.12
72,8,67419679,0.38
73,8,104130332,0.46
74,8,63734914,0.29
75,8,44440210,0.29
76,8,80717129,0.29
77,8,77873392,0.42
78,8,100928033,0.42
79,8,67797581,0.33
80,8,76987439,0.42
81,9,60965479,0.25
82,9,75297828,0.38
83,9,85030227,0.46
84,9,22007511,0.21
85,9,43802134,0.25
86,9,54294370,0.29
87,9,26375723,0.25
88,9,89237298,0.50
89,9,16043582,0.08
90,9,42172916,0.29
91,10,90170137,0.46
92,10,32713251,0.12
93,10,68598552,0.46
94,10,70807483,0.33
95,10,38573251,0.21
96,10,13566635,0.12
97,10,99194530,0.42
98,10,75983640,0.46
99,10,60202021,0.25
100,10,24948703,0.21
101,11,19326698,0.17
102,11,78385345,0.38
103,11,96481157,0.42
104,11,24922684,0.12
105,11,76002172,0.38
106,11,32156654,0.12
107,11,115415129,0.50
108,11,39110929,0.21
109,11,113731626,0.50
110,11,94401495,0.50
111,12,81903585,0.50
112,12,89221657,0.46
113,12,110476981,0.38
114,12,93719717,0.50
115,12,24574574,0.12
116,12,33402160,0.21
117,12,60544659,0.38
118,12,67817649,0.46
119,12,70229929,0.46
120,12,125393373,0.50
121,13,74282243,0.38
122,13,75330563,0.42
123,13,32016280,0.21
124,13,84845414,0.46
125,13,48251287,0.25
126,13,25686794,0.17
127,13,71485783,0.38
128,13,24691608,0.12
129,13,14096994,0.12
130,13,23608693,0.12
131,14,101150039,0.50
132,14,21841945,0.21
133,14,62378942,0.33
134,14,16908015,0.08
135,14,14651757,0.08
136,14,59393266,0.25
137,14,29221155,0.21
138,14,71003945,0.42
139,14,63730693,0.42
140,14,19340874,0.08
141,15,77403524,0.50
142,15,69024308,0.46
143,15,28692496,0.17
144,15,30965070,0.25
145,15,85474173,0.42
146,15,10326145,0.12
147,15,84832742,0.33
148,15,57581307,0.17
149,15,35737267,0.21
150,15,31999456,0.21
151,16,5757209,0.08
152,16,10771046,0.08
153,16,83102457,0.46
154,16,90372027,0.42
155,16,103006838,0.38
156,16,67105297,0.38
157,16,119069238,0.50
158,16,96325542,0.38
159,16,66635311,0.29
160,16,94455209,0.50
161,17,75412553,0.29
162,17,104180595,0.46
163,17,42214422,0.25
164,17,44177173,0.25
165,17,93223402,0.42
166,17,50969201,0.21
167,17,79098218,0.42
168,17,115340105,0.46
169,17,110491034,0.50
170,17,47466241,0.21
171,18,64891785,0.29
172,18,38716674,0.21
173,18,108432681,0.50
174,18,25303944,0.12
175,18,70898203,0.25
176,18,36224192,0.12
177,18,82785883,0.29
178,18,57136551,0.25
179,18,85066199,0.38
180,18,110370347,0.50
181,19,51972349,0.21
182,19,31508109,0.17
183,19,7859537,0.08
184,19,15299399,0.17
185,19,40077551,0.21
186,19,108412431,0.46
187,19,45914889,0.21
188,19,99392046,0.46
189,19,96488894,0.50
190,19,64381556,0.42
191,20,79369627,0.38
192,20,14150837,0.08
193,20,34988327,0.17
194,20,69856736,0.29
195,20,38974005,0.17
196,20,62334849,0.25
197,20,16398455,0.08
198,20,79464060,0.38
199,20,36488023,0.21
200,20,10776345,0.08
201,21,105363038,0.42
202,21,35872598,0.12
203,21,118954715,0.50
204,21,75289777,0.25
205,21,68543986,0.29
206,21,52983872,0.21
207,21,10666396,0.12
208,21,36595260,0.12
209,21,105281813,0.50
210,21,112300644,0.50
211,22,77453992,0.38
212,22,67343129,0.42
