task number,solution time,fitness minimum,stop reason,generations number
9,0.326806,0,Найдено точное решение,26
81,0.198290,0,Найдено точное решение,5
125,0.358182,0,Найдено точное решение,29
126,0.232703,0,Найдено точное решение,19
77,0.760560,0,Найдено точное решение,55
127,0.193980,0,Найдено точное решение,22
33,1.218326,0,Найдено точное решение,101
113,1.168942,0,Найдено точное решение,120
49,1.524768,0,Найдено точное решение,83
69,1.574028,0,Найдено точное решение,130
37,1.694713,0,Найдено точное решение,188
114,0.466034,0,Найдено точное решение,68
29,1.981716,0,Найдено точное решение,199
34,0.769011,0,Найдено точное решение,50
53,2.127530,0,Найдено точное решение,220
137,1.965306,0,Найдено точное решение,153
61,2.342201,0,Найдено точное решение,176
89,2.390520,0,Найдено точное решение,290
21,2.882916,0,Найдено точное решение,375
128,1.722571,0,Найдено точное решение,199
133,2.645334,0,Найдено точное решение,218
115,1.115716,0,Найдено точное решение,122
57,2.977322,0,Найдено точное решение,258
10,2.998964,0,Найдено точное решение,408
117,2.953876,0,Найдено точное решение,333
129,3.010673,0,Найдено точное решение,263
58,0.504941,0,Найдено точное решение,66
141,3.268583,0,Найдено точное решение,301
25,4.167799,28,Нет улучшений на последних двух итерациях,571
149,3.704963,0,Найдено точное решение,514
150,0.048151,0,Найдено точное решение,6
22,1.435921,0,Найдено точное решение,220
17,4.390819,150,Нет улучшений на последних двух итерациях,514
157,3.895477,0,Найдено точное решение,370
121,4.028214,169,Нет улучшений на последних двух итерациях,571
23,0.202024,0,Найдено точное решение,30
1,4.711008,0,Найдено точное решение,440
85,4.453003,108,Нет улучшений на последних двух итерациях,556
24,0.225773,0,Найдено точное решение,33
153,4.398021,0,Найдено точное решение,376
30,2.987917,0,Найдено точное решение,392
13,5.144623,0,Найдено точное решение,508
93,4.880963,64,Нет улучшений на последних двух итерациях,590
59,1.715295,0,Найдено точное решение,207
31,0.590270,0,Найдено точное решение,77
118,2.537456,0,Найдено точное решение,314
32,0.202160,0,Найдено точное решение,25
105,5.586811,15,Нет улучшений на последних двух итерациях,633
73,5.735164,20,Нет улучшений на последних двух итерациях,568
109,5.703110,94,Нет улучшений на последних двух итерациях,568
38,4.190534,283,Нет улучшений на последних двух итерациях,521
90,3.409219,0,Найдено точное решение,480
54,3.827956,0,Найдено точное решение,406
97,5.907415,116,Нет улучшений на последних двух итерациях,526
82,5.780666,59,Нет улучшений на последних двух итерациях,758
11,2.960991,0,Найдено точное решение,448
26,2.186531,0,Найдено точное решение,328
106,0.513191,0,Найдено точное решение,44
134,3.414438,0,Найдено точное решение,443
39,0.459186,0,Найдено точное решение,53
110,0.634485,0,Найдено точное решение,65
135,0.399940,0,Найдено точное решение,26
78,5.971112,200,Нет улучшений на последних двух итерациях,656
45,6.886564,316,Нет улучшений на последних двух итерациях,616
70,5.343192,259,Нет улучшений на последних двух итерациях,540
46,0.071737,0,Найдено точное решение,6
71,0.066226,0,Найдено точное решение,8
145,6.780210,53,Нет улучшений на последних двух итерациях,647
