task number,vector number,target weight,fraction
1,1,638163,0.38
2,1,224069,0.08
3,1,796074,0.50
4,1,460189,0.38
5,1,757438,0.46
6,1,395187,0.29
7,1,734943,0.38
8,1,643810,0.33
9,1,546120,0.38
10,1,274362,0.29
11,2,266784,0.21
12,2,189133,0.17
13,2,374654,0.29
14,2,657867,0.38
15,2,764840,0.42
16,2,202555,0.21
17,2,302174,0.21
18,2,295573,0.25
19,2,345964,0.29
20,2,87947,0.08
21,3,931077,0.50
22,3,503130,0.33
23,3,315526,0.21
24,3,358630,0.21
25,3,907887,0.50
26,3,866279,0.46
27,3,220632,0.08
28,3,116076,0.08
29,3,689058,0.42
30,3,719985,0.42
31,4,124902,0.12
32,4,611351,0.33
33,4,900924,0.50
34,4,369156,0.21
35,4,538391,0.33
36,4,73493,0.08
37,4,430761,0.21
38,4,446587,0.25
39,4,102904,0.08
40,4,887855,0.46
41,5,315600,0.21
42,5,504963,0.29
43,5,568179,0.25
44,5,782495,0.42
45,5,703583,0.42
46,5,314536,0.12
47,5,21914,0.08
48,5,925651,0.42
49,5,226676,0.12
50,5,345880,0.25
51,6,648463,0.38
52,6,712257,0.46
53,6,950531,0.50
54,6,624747,0.33
55,6,471476,0.21
56,6,221566,0.08
57,6,217964,0.12
58,6,239666,0.12
59,6,658467,0.46
60,6,930597,0.46
61,7,512262,0.33
62,7,526869,0.25
63,7,224748,0.08
64,7,412235,0.29
65,7,522829,0.21
66,7,181419,0.08
67,7,880554,0.42
68,7,161626,0.08
69,7,483470,0.29
70,7,320207,0.12
71,8,145524,0.08
72,8,403038,0.25
73,8,1005008,0.50
74,8,612353,0.38
75,8,562145,0.25
76,8,406429,0.17
77,8,184020,0.12
78,8,599885,0.33
79,8,590579,0.42
80,8,192064,0.08
81,9,364160,0.17
82,9,493724,0.25
83,9,700205,0.33
84,9,493946,0.29
85,9,541465,0.25
86,9,1078413,0.50
87,9,271908,0.12
88,9,605891,0.25
89,9,1001351,0.46
90,9,268758,0.12
91,10,590217,0.38
92,10,211443,0.08
93,10,526383,0.29
94,10,929281,0.50
95,10,707524,0.38
96,10,347623,0.12
97,10,887088,0.50
98,10,464744,0.29
99,10,920734,0.46
100,10,521278,0.29
101,11,189187,0.12
102,11,467520,0.38
103,11,712965,0.46
104,11,422836,0.29
105,11,480100,0.25
106,11,389009,0.38
107,11,605053,0.33
108,11,119757,0.08
109,11,377876,0.29
110,11,235914,0.17
111,12,530393,0.38
112,12,143415,0.08
113,12,616289,0.25
114,12,205623,0.08
115,12,202743,0.17
116,12,277103,0.17
117,12,206962,0.08
118,12,432460,0.29
119,12,554297,0.33
120,12,410723,0.21
121,13,414781,0.25
122,13,647533,0.46
123,13,247164,0.12
124,13,366142,0.17
125,13,662621,0.42
126,13,953180,0.42
127,13,247251,0.12
128,13,206266,0.21
129,13,438351,0.29
130,13,387827,0.21
131,14,344931,0.17
132,14,270411,0.12
133,14,646865,0.42
134,14,770298,0.46
135,14,88709,0.08
136,14,244935,0.12
137,14,292311,0.17
138,14,522192,0.21
139,14,459307,0.29
140,14,32636,0.08
141,15,917903,0.50
142,15,633088,0.38
143,15,535691,0.33
144,15,1119545,0.46
145,15,470077,0.25
146,15,902616,0.50
147,15,955126,0.50
148,15,817163,0.50
149,15,741801,0.33
150,15,776903,0.42
151,16,663169,0.42
152,16,218917,0.25
153,16,415319,0.33
154,16,865778,0.50
155,16,708827,0.50
156,16,412367,0.29
157,16,441001,0.29
158,16,180229,0.08
159,16,721977,0.46
160,16,159010,0.12
161,17,577276,0.33
162,17,248956,0.17
163,17,649977,0.50
164,17,233676,0.17
165,17,472407,0.33
166,17,216623,0.25
167,17,588996,0.42
168,17,549010,0.38
169,17,600853,0.38
170,17,786192,0.46
171,18,484482,0.29
172,18,403019,0.17
173,18,135655,0.08
174,18,231899,0.08
175,18,266608,0.25
176,18,754414,0.42
177,18,396826,0.21
178,18,770624,0.46
179,18,798507,0.50
180,18,942655,0.50
181,19,944403,0.50
182,19,581582,0.38
183,19,561199,0.38
184,19,197856,0.12
185,19,205377,0.12
186,19,155981,0.08
187,19,722008,0.38
188,19,680207,0.33
189,19,731188,0.38
190,19,395533,0.25
191,20,305012,0.17
192,20,995445,0.50
193,20,646756,0.38
194,20,311606,0.12
195,20,890761,0.42
196,20,852807,0.38
197,20,609352,0.33
198,20,467562,0.17
199,20,530872,0.29
200,20,439240,0.29
201,21,319368,0.21
202,21,386661,0.17
203,21,1153221,0.50
204,21,636709,0.33
205,21,471275,0.21
206,21,954399,0.46
207,21,1149286,0.46
208,21,355501,0.21
209,21,833120,0.33
210,21,1096474,0.46
211,22,1155286,0.50
212,22,419811,0.25
213,22,313010,0.21
214,22,1098828,0.50
215,22,945071,0.46
216,22,439347,0.21
217,22,1121873,0.46
218,22,1124970,0.46
219,22,445754,0.25
220,22,198286,0.12
221,23,96052,0.12
222,23,458743,0.42
223,23,839727,0.50
224,23,570007,0.46
225,23,183228,0.08
226,23,344921,0.25
227,23,352517,0.33
228,23,762777,0.46
229,23,478497,0.29
230,23,191250,0.25
231,24,160205,0.12
232,24,675308,0.38
233,24,400442,0.25
234,24,599329,0.33
235,24,423920,0.21
236,24,684033,0.46
237,24,654397,0.50
238,24,224489,0.17
239,24,223777,0.12
240,24,215254,0.12
241,25,242157,0.21
242,25,516383,0.29
