task number,solution time,fitness minimum,stop reason,generations number
97,0.058310,0,Найдено точное решение,0
77,0.225424,0,Найдено точное решение,11
49,0.362231,0,Найдено точное решение,20
41,0.397545,0,Найдено точное решение,32
137,0.241554,0,Найдено точное решение,18
45,0.484349,0,Найдено точное решение,63
85,0.431496,0,Найдено точное решение,19
73,0.611546,0,Найдено точное решение,55
61,0.651129,0,Найдено точное решение,68
42,0.315292,0,Найдено точное решение,35
89,0.643405,0,Найдено точное решение,79
25,0.884331,0,Найдено точное решение,82
98,0.588778,0,Найдено точное решение,71
43,0.097586,0,Найдено точное решение,10
153,0.580094,0,Найдено точное решение,30
90,0.072763,0,Найдено точное решение,9
53,0.808068,0,Найдено точное решение,103
46,0.360595,0,Найдено точное решение,39
29,0.917446,0,Найдено точное решение,64
65,0.888845,0,Найдено точное решение,65
1,1.170052,0,Найдено точное решение,107
109,0.819866,0,Найдено точное решение,75
17,1.124012,0,Найдено точное решение,119
57,0.949674,0,Найдено точное решение,79
9,1.155420,0,Найдено точное решение,127
113,0.847136,0,Найдено точное решение,86
91,0.201153,0,Найдено точное решение,28
133,1.099757,0,Найдено точное решение,66
47,0.463851,0,Найдено точное решение,37
110,0.393219,0,Найдено точное решение,34
2,0.412907,0,Найдено точное решение,40
86,0.877458,0,Найдено точное решение,72
125,1.382438,0,Найдено точное решение,200
126,0.020723,0,Найдено точное решение,2
101,1.492095,0,Найдено точное решение,132
10,0.673070,0,Найдено точное решение,97
74,0.990462,0,Найдено точное решение,143
81,1.621001,0,Найдено точное решение,126
5,1.946847,0,Найдено точное решение,194
21,1.907717,0,Найдено точное решение,202
154,0.999858,0,Найдено точное решение,56
13,1.992280,0,Найдено точное решение,182
92,0.815039,0,Найдено точное решение,116
33,1.857849,0,Найдено точное решение,136
93,1.766210,0,Найдено точное решение,246
94,0.151873,0,Найдено точное решение,20
14,0.210871,0,Найдено точное решение,25
18,1.126271,0,Найдено точное решение,162
138,1.709618,0,Найдено точное решение,138
87,0.802600,0,Найдено точное решение,68
141,2.071367,0,Найдено точное решение,267
161,0.526403,0,Найдено точное решение,74
37,2.381357,0,Найдено точное решение,233
26,1.657225,0,Найдено точное решение,167
27,0.045752,0,Найдено точное решение,2
3,1.139730,0,Найдено точное решение,148
105,2.395004,0,Найдено точное решение,318
54,1.703846,0,Найдено точное решение,217
30,1.665664,0,Найдено точное решение,144
4,0.109326,0,Найдено точное решение,14
142,0.336851,0,Найдено точное решение,47
78,2.348241,0,Найдено точное решение,336
145,2.442631,0,Найдено точное решение,181
22,0.969512,0,Найдено точное решение,119
139,0.583807,0,Найдено точное решение,29
117,2.594526,0,Найдено точное решение,326
143,0.133817,0,Найдено точное решение,18
106,0.247151,0,Найдено точное решение,17
82,1.090210,0,Найдено точное решение,83
79,0.162154,0,Найдено точное решение,22
118,0.082607,0,Найдено точное решение,9
144,0.103750,0,Найдено точное решение,14
66,1.940181,0,Найдено точное решение,186
121,2.730065,0,Найдено точное решение,352
146,0.274103,0,Найдено точное решение,26
162,0.670439,0,Найдено точное решение,76
11,1.434244,0,Найдено точное решение,168
83,0.381862,0,Найдено точное решение,48
69,3.141451,0,Найдено точное решение,407
147,0.269775,0,Найдено точное решение,20
6,1.483928,0,Найдено точное решение,183
34,1.383909,0,Найдено точное решение,171
58,2.253995,0,Найдено точное решение,237
88,1.032636,0,Найдено точное решение,86
38,0.919271,0,Найдено точное решение,101
134,2.009203,0,Найдено точное решение,247
28,0.881045,0,Найдено точное решение,71
84,0.170445,0,Найдено точное решение,16
135,0.103267,0,Найдено точное решение,11
165,0.937511,0,Найдено точное решение,130
19,1.490921,0,Найдено точное решение,176
23,0.938437,0,Найдено точное решение,115
148,0.516431,0,Найдено точное решение,59
99,3.086912,0,Найдено точное решение,451
136,0.435411,0,Найдено точное решение,52
70,0.674112,0,Найдено точное решение,83
48,2.548916,0,Найдено точное решение,152
177,0.549228,0,Найдено точное решение,67
75,2.263419,0,Найдено точное решение,324
157,3.704083,0,Найдено точное решение,274
122,1.081424,0,Найдено точное решение,77
71,0.115862,0,Найдено точное решение,8
163,0.949221,0,Найдено точное решение,115
76,0.160259,0,Найдено точное решение,22
80,1.281305,0,Найдено точное решение,155
35,0.879198,0,Найдено точное решение,108
72,0.216793,0,Найдено точное решение,24
100,0.365851,0,Найдено точное решение,52
102,2.685605,0,Найдено точное решение,215
114,3.311114,0,Найдено точное решение,477
173,1.093488,0,Найдено точное решение,101
59,1.181537,0,Найдено точное решение,145
149,4.380268,0,Найдено точное решение,356
103,0.395727,0,Найдено точное решение,38
119,1.874372,0,Найдено точное решение,219
169,1.969531,0,Найдено точное решение,282
107,2.061986,0,Найдено точное решение,157
31,2.298697,0,Найдено точное решение,259
166,1.291080,0,Найдено точное решение,145
170,0.025245,0,Найдено точное решение,2
167,0.137957,0,Найдено точное решение,15
123,1.078316,0,Найдено точное решение,109
124,0.019462,0,Найдено точное решение,0
158,1.127919,0,Найдено точное решение,134
62,4.400237,63,Нет улучшений на последних двух итерациях,572
213,0.021118,0,Найдено точное решение,1
55,2.601636,0,Найдено точное решение,307
174,0.867834,0,Найдено точное решение,83
189,1.364592,0,Найдено точное решение,160
201,1.164515,0,Найдено точное решение,159
209,1.061870,0,Найдено точное решение,145
214,0.239935,0,Найдено точное решение,31
171,0.477916,0,Найдено точное решение,60
7,2.196589,0,Найдено точное решение,265
127,3.878828,0,Найдено точное решение,466
175,0.327659,0,Найдено точное решение,27
215,0.275928,0,Найдено точное решение,19
95,3.618366,0,Найдено точное решение,380
8,0.247734,0,Найдено точное решение,29
20,2.113746,0,Найдено точное решение,177
164,1.736687,0,Найдено точное решение,238
210,0.489410,0,Найдено точное решение,71
225,0.106722,0,Найдено точное решение,14
44,5.092068,0,Найдено точное решение,290
221,0.281567,0,Найдено точное решение,26
15,3.980973,0,Найдено точное решение,454
176,0.511629,0,Найдено точное решение,49
168,1.080624,0,Найдено точное решение,80
111,4.736108,150,Нет улучшений на последних двух итерациях,578
60,1.690408,0,Найдено точное решение,182
104,1.484381,0,Найдено точное решение,128
241,0.114009,0,Найдено точное решение,7
172,0.942548,0,Найдено точное решение,135
249,0.034718,0,Найдено точное решение,4
50,5.947684,0,Найдено точное решение,372
36,2.230191,0,Найдено точное решение,229
115,2.112184,0,Найдено точное решение,296
250,0.139193,0,Найдено точное решение,19
193,2.669723,0,Найдено точное решение,216
120,1.864919,0,Найдено точное решение,158
39,3.297336,0,Найдено точное решение,367
67,3.722463,0,Найдено точное решение,329
12,3.600159,0,Найдено точное решение,365
112,0.638318,0,Найдено точное решение,85
116,0.464568,0,Найдено точное решение,66
205,2.710410,0,Найдено точное решение,302
63,1.841728,0,Найдено точное решение,215
128,1.494277,0,Найдено точное решение,173
194,0.499674,0,Найдено точное решение,60
233,1.012124,0,Найдено точное решение,107
211,1.309252,0,Найдено точное решение,190
195,0.066649,0,Найдено точное решение,7
261,0.454152,0,Найдено точное решение,27
197,3.085645,0,Найдено точное решение,436
32,2.356748,0,Найдено точное решение,207
277,0.022645,0,Найдено точное решение,2
257,0.695446,0,Найдено точное решение,95
265,0.617555,0,Найдено точное решение,84
273,0.510778,0,Найдено точное решение,47
64,0.560226,0,Найдено точное решение,54
51,1.220254,0,Найдено точное решение,151
253,1.265987,0,Найдено точное решение,111
52,0.108821,0,Найдено точное решение,12
245,1.497456,0,Найдено точное решение,135
129,7.539616,0,Найдено точное решение,537
216,2.155619,0,Найдено точное решение,196
234,0.716763,0,Найдено точное решение,73
178,3.915861,0,Найдено точное решение,453
108,3.176028,0,Найдено точное решение,237
140,5.303862,55,Нет улучшений на последних двух итерациях,580
262,0.957855,0,Найдено точное решение,66
251,1.742333,0,Найдено точное решение,249
258,0.973596,0,Найдено точное решение,139
40,1.793425,0,Найдено точное решение,129
269,1.499642,0,Найдено точное решение,216
266,1.058930,0,Найдено точное решение,129
237,2.365452,0,Найдено точное решение,310
212,1.376161,0,Найдено точное решение,199
285,0.794776,0,Найдено точное решение,98
229,2.584616,0,Найдено точное решение,192
301,0.134836,0,Найдено точное решение,15
242,2.349720,0,Найдено точное решение,213
235,0.806706,0,Найдено точное решение,78
155,6.797866,22,Нет улучшений на последних двух итерациях,566
236,0.044324,0,Найдено точное решение,4
309,0.011520,0,Найдено точное решение,0
297,0.588138,0,Найдено точное решение,71
202,3.405885,0,Найдено точное решение,423
274,1.292962,0,Найдено точное решение,154
68,2.274372,0,Найдено точное решение,166
270,0.700492,0,Найдено точное решение,100
217,3.498972,0,Найдено точное решение,423
56,4.045999,0,Найдено точное решение,466
181,5.916986,27,Нет улучшений на последних двух итерациях,586
317,0.130738,0,Найдено точное решение,15
246,1.661314,0,Найдено точное решение,205
182,0.098079,0,Найдено точное решение,11
222,3.406933,0,Найдено точное решение,326
247,0.156388,0,Найдено точное решение,18
305,1.097254,0,Найдено точное решение,159
263,1.449193,0,Найдено точное решение,123
96,3.971520,11,Нет улучшений на последних двух итерациях,512
275,1.068812,0,Найдено точное решение,108
159,4.822742,55,Нет улучшений на последних двух итерациях,540
206,3.104782,0,Найдено точное решение,428
289,2.251845,0,Найдено точное решение,213
254,2.436237,0,Найдено точное решение,187
156,1.508253,0,Найдено точное решение,180
259,1.875527,0,Найдено точное решение,218
218,1.008601,0,Найдено точное решение,117
260,0.064004,0,Найдено точное решение,5
185,6.486873,0,Найдено точное решение,507
223,0.905164,0,Найдено точное решение,104
179,2.544425,0,Найдено точное решение,232
150,5.761864,10,Нет улучшений на последних двух итерациях,533
130,2.640353,0,Найдено точное решение,267
207,0.365156,0,Найдено точное решение,47
298,1.762181,0,Найдено точное решение,168
196,3.344674,0,Найдено точное решение,398
226,4.639853,128,Нет улучшений на последних двух итерациях,502
16,4.449456,0,Найдено точное решение,396
248,0.992455,0,Найдено точное решение,95
271,1.512902,0,Найдено точное решение,211
329,0.417579,0,Найдено точное решение,54
276,0.802065,0,Найдено точное решение,74
290,0.615288,0,Найдено точное решение,67
186,0.424875,0,Найдено точное решение,30
190,5.546099,13,Нет улучшений на последних двух итерациях,536
208,0.481622,0,Найдено точное решение,69
349,0.034377,0,Найдено точное решение,4
281,3.507539,0,Найдено точное решение,396
330,0.403188,0,Найдено точное решение,52
