task number,vector number,target weight,fraction
1,1,489306,0.25
2,1,650698,0.38
3,1,835277,0.46
4,1,746667,0.38
5,1,114896,0.08
6,1,869467,0.42
7,1,805118,0.42
8,1,484954,0.25
9,1,111337,0.12
10,1,447910,0.21
11,2,982876,0.50
12,2,275702,0.12
13,2,819189,0.46
14,2,767203,0.33
15,2,962340,0.50
16,2,564155,0.29
17,2,876087,0.38
18,2,577565,0.38
19,2,269250,0.12
20,2,470068,0.33
21,3,668728,0.46
22,3,289119,0.25
23,3,815273,0.50
24,3,215511,0.12
25,3,458059,0.33
26,3,488650,0.42
27,3,542481,0.46
28,3,591693,0.42
29,3,594500,0.50
30,3,407801,0.29
31,4,541862,0.25
32,4,277453,0.17
33,4,135098,0.12
34,4,585671,0.29
35,4,770046,0.42
36,4,828525,0.42
37,4,447815,0.17
38,4,445738,0.25
39,4,493810,0.29
40,4,335284,0.21
41,5,729280,0.50
42,5,739465,0.46
43,5,485055,0.25
44,5,898360,0.50
45,5,400290,0.29
46,5,234747,0.08
47,5,533790,0.42
48,5,751210,0.38
49,5,222880,0.08
50,5,269711,0.17
51,6,131700,0.12
52,6,734680,0.46
53,6,490658,0.25
54,6,279432,0.21
55,6,349693,0.25
56,6,679845,0.38
57,6,465143,0.33
58,6,533950,0.25
59,6,796523,0.50
60,6,809569,0.50
61,7,507514,0.42
62,7,811428,0.42
63,7,457672,0.21
64,7,107622,0.08
65,7,94440,0.08
66,7,621026,0.33
67,7,752911,0.42
68,7,130803,0.08
69,7,636497,0.33
70,7,656181,0.29
71,8,289117,0.25
72,8,729587,0.50
73,8,829430,0.46
74,8,555367,0.46
75,8,694217,0.38
76,8,196396,0.17
77,8,266629,0.33
78,8,868657,0.46
79,8,504680,0.29
80,8,38285,0.08
81,9,240214,0.12
82,9,1128835,0.50
83,9,369599,0.21
84,9,967126,0.50
85,9,617532,0.33
86,9,418925,0.25
87,9,221365,0.12
88,9,373883,0.25
89,9,551250,0.25
90,9,1122898,0.50
91,10,826765,0.50
92,10,155898,0.08
93,10,281646,0.17
94,10,548236,0.29
95,10,529496,0.25
96,10,454865,0.25
97,10,334699,0.12
98,10,247052,0.12
99,10,784236,0.46
100,10,337784,0.21
101,11,734762,0.38
102,11,346619,0.21
103,11,379528,0.29
104,11,399226,0.21
105,11,391408,0.25
106,11,745400,0.42
107,11,239227,0.12
108,11,724160,0.50
109,11,256388,0.17
110,11,404658,0.29
111,12,658623,0.29
112,12,651837,0.29
113,12,676289,0.38
114,12,656231,0.42
115,12,268215,0.17
116,12,260608,0.08
117,12,392821,0.21
118,12,297602,0.12
119,12,874613,0.50
120,12,129580,0.08
121,13,878609,0.38
122,13,917185,0.46
123,13,703386,0.42
124,13,437371,0.17
125,13,770148,0.42
126,13,320266,0.12
127,13,444828,0.21
128,13,128535,0.12
129,13,541621,0.33
130,13,67955,0.08
131,14,545101,0.33
132,14,783523,0.46
133,14,532372,0.29
134,14,740617,0.38
135,14,321100,0.17
136,14,637172,0.33
137,14,503828,0.25
138,14,524844,0.38
139,14,730539,0.42
140,14,758021,0.46
141,15,736741,0.42
142,15,352268,0.17
143,15,298377,0.17
144,15,506678,0.38
145,15,302507,0.17
146,15,695002,0.50
147,15,268705,0.21
148,15,255114,0.12
149,15,247544,0.17
150,15,841772,0.50
151,16,639017,0.38
152,16,187473,0.08
153,16,1027280,0.50
154,16,742801,0.42
155,16,391206,0.21
156,16,808783,0.42
157,16,204550,0.12
158,16,409572,0.25
159,16,228000,0.17
160,16,895856,0.42
161,17,263645,0.17
162,17,550601,0.38
163,17,604617,0.29
164,17,381394,0.17
165,17,13677,0.08
166,17,289947,0.17
167,17,673680,0.50
168,17,754052,0.38
169,17,543144,0.33
170,17,272616,0.12
171,18,516084,0.33
172,18,332107,0.21
173,18,134745,0.08
174,18,426712,0.21
175,18,139685,0.12
176,18,352591,0.21
177,18,645800,0.33
178,18,395679,0.17
179,18,176928,0.12
180,18,883601,0.46
181,19,109006,0.12
182,19,649456,0.46
183,19,905549,0.50
184,19,603587,0.29
185,19,923935,0.46
186,19,419270,0.25
187,19,491132,0.25
188,19,694653,0.46
189,19,420992,0.17
190,19,159899,0.08
191,20,713103,0.46
192,20,293483,0.21
193,20,498633,0.29
194,20,115740,0.08
195,20,595288,0.33
196,20,459374,0.21
197,20,450610,0.25
198,20,518933,0.33
199,20,593129,0.38
200,20,792401,0.38
201,21,761019,0.33
202,21,62582,0.08
203,21,1029661,0.50
204,21,470552,0.25
205,21,288244,0.17
206,21,455593,0.21
207,21,656418,0.38
208,21,815224,0.38
209,21,561838,0.29
210,21,494026,0.21
211,22,323383,0.29
212,22,411998,0.29
213,22,718068,0.42
214,22,391753,0.25
215,22,403857,0.25
216,22,553291,0.42
217,22,644029,0.46
218,22,173913,0.17
219,22,106521,0.17
220,22,341691,0.21
221,23,821155,0.50
222,23,437155,0.29
223,23,765165,0.42
224,23,236823,0.17
225,23,237435,0.21
226,23,145190,0.08
227,23,240858,0.25
228,23,838597,0.50
229,23,598908,0.33
230,23,102821,0.08
231,24,556078,0.29
232,24,935377,0.50
233,24,140990,0.08
