number,vector,amax
1,"[35342, 713, 120229, 67080, 2398, 105766, 122690, 1704, 73517, 47362, 66418, 122718, 129188, 106244, 56660, 116526, 27265, 137073, 12696, 112498, 108920, 103183, 98171, 23776]",144715
2,"[103907, 61235, 52430, 110719, 124250, 33433, 112146, 78056, 29223, 120381, 137065, 111567, 27665, 5037, 113120, 75886, 44438, 96638, 84261, 31818, 141362, 77402, 47315, 39605]",144715
3,"[40335, 5851, 138018, 104973, 18244, 62745, 17114, 89755, 129503, 96340, 112117, 98322, 52384, 10402, 35001, 4931, 11916, 11746, 38400, 119615, 2760, 106812, 57496, 3301]",144715
4,"[65788, 26782, 115174, 45059, 26581, 139003, 102184, 47333, 35774, 63019, 124755, 36276, 54265, 81105, 137999, 82129, 53785, 48783, 130796, 43826, 143035, 142539, 30221, 140062]",144715
5,"[8112, 35279, 39989, 114995, 97641, 58370, 17713, 117656, 66546, 125239, 53423, 71928, 45740, 137106, 87177, 90605, 9519, 74996, 92127, 4529, 25694, 25902, 137887, 40518]",144715
6,"[97481, 53465, 20698, 51099, 7077, 7925, 139554, 122351, 70310, 134616, 99379, 85275, 12871, 67883, 134312, 44878, 53555, 74751, 38481, 65910, 127983, 47514, 105754, 64105]",144715
7,"[140223, 143950, 91118, 26272, 7811, 41463, 72065, 91842, 29231, 138723, 98944, 75507, 111870, 18933, 97672, 120522, 51032, 51770, 35863, 127437, 104680, 81350, 81706, 64908]",144715
8,"[89375, 101239, 104993, 137944, 109300, 23887, 27642, 143258, 102843, 34809, 30693, 33800, 5691, 112413, 39362, 41625, 87013, 24720, 45951, 22586, 87261, 10643, 5364, 109298]",144715
9,"[41402, 136116, 100649, 42760, 50072, 42686, 67108, 35773, 62696, 125649, 136620, 2670, 94428, 141941, 59279, 40460, 40333, 58020, 99277, 126662, 94043, 132989, 89836, 135974]",144715
10,"[84009, 142535, 127712, 27690, 87644, 51579, 68252, 8086, 88120, 59471, 1890, 109818, 118364, 42080, 26157, 129692, 104520, 58386, 113818, 91203, 103679, 4067, 34903, 12661]",144715
11,"[133191, 93922, 33889, 102357, 95900, 45402, 30718, 135387, 40721, 31605, 46213, 67686, 29529, 30584, 97274, 138655, 16006, 106164, 29391, 136306, 16508, 142141, 84332, 57621]",144715
12,"[117876, 111406, 58563, 113549, 31442, 121472, 46783, 140288, 74147, 83414, 127462, 22468, 130465, 36169, 6491, 49765, 101227, 68690, 7491, 52311, 123089, 51918, 35377, 139136]",144715
13,"[100558, 122789, 19893, 926, 60627, 64039, 91818, 99944, 48411, 122955, 136811, 105506, 50755, 96335, 136413, 135442, 107410, 7328, 106678, 32027, 133800, 5288, 55582, 8084]",144715
14,"[2748, 75431, 55625, 74991, 136711, 119736, 36283, 63221, 73115, 80766, 94046, 85061, 133927, 14667, 61814, 140472, 90956, 91218, 16640, 20971, 124389, 121034, 8529, 129497]",144715
15,"[83241, 93924, 1542, 937, 4172, 79813, 46863, 83534, 95997, 39940, 75116, 49081, 624, 10198, 90574, 9898, 61978, 55340, 108232, 84680, 86206, 121250, 141282, 92827]",144715
16,"[97761, 68213, 53773, 30922, 87090, 37986, 95186, 55883, 109409, 139269, 42156, 15281, 93341, 2664, 131590, 91537, 45635, 17847, 99903, 70857, 96189, 110160, 38906, 19971]",144715
17,"[18694, 109809, 94459, 59260, 48392, 26018, 70963, 111600, 111408, 2232, 60620, 12921, 21061, 78366, 5398, 756, 139248, 38257, 109180, 63603, 76267, 139498, 138050, 54886]",144715
