number,vector,amax
1,[101555 83379 131044 47759 114415 110974 122439 77698 126499 55503 74907 122569 68052 85042 35666 68471 38033 10344 53662 71909 60812 30546 130366 129443],131072
2,[25783 784 102071 51499 49469 89710 107238 54821 109470 30793 124448 56106 64460 123658 13335 97714 107607 7520 19897 14587 14345 117187 38657 99342],131072
3,[117966 118003 56381 49616 6246 72405 16157 119924 112937 52076 50004 32139 9828 20369 34195 48959 95576 79004 49881 86278 24128 35197 37852 103337],131072
4,[40250 21419 22918 124001 35457 96982 111272 42361 59400 104066 5766 98134 87396 87081 124086 5495 27091 74495 47351 14405 108609 33594 58004 45229],131072
5,[23758 14590 90462 102695 13637 68361 121467 102164 50153 60758 65102 21670 56439 98566 41238 60323 99789 121802 123178 124879 129419 120157 128384 65530],131072
6,[67940 116980 28954 60637 121437 7042 8314 114352 124816 82605 11547 122535 97433 77237 88470 10764 101766 130808 74051 81628 39961 64893 73027 82904],131072
7,[107346 88793 29457 123588 51198 70318 29093 57208 8837 104369 60048 79603 57718 85861 66315 103756 52377 3194 91112 118465 46725 7214 46427 43656],131072
8,[23395 98343 47637 113572 22445 8094 37378 114030 5109 58526 17041 8941 72691 83072 4580 42342 13852 75111 74657 77240 116598 71314 3829 7840],131072
9,[56898 15748 59673 109697 66047 70189 62966 20450 97359 20170 23674 53429 88582 44239 27046 49442 7938 38949 34789 106356 43768 5138 13636 23124],131072
10,[89673 79829 122790 107418 39999 105003 31068 41570 2278 18840 82476 125554 124895 24274 60568 94799 54986 34290 100990 5565 2957 34294 23465 35748],131072
11,[32527 27110 95783 30571 40657 125366 116913 51825 81218 72017 128993 100535 128466 109881 73438 31614 37939 45462 54048 56068 115127 123008 102960 44767],131072
12,[34935 106642 81506 90159 89758 9735 119441 114215 36013 4325 79202 100975 118023 14526 9248 104440 124293 24155 57401 95245 111748 64086 42492 21349],131072
13,[33953 50219 124492 107976 87279 122365 77401 121633 61459 119432 112682 83804 59005 2019 68004 26857 50771 42138 55918 56093 15279 88082 89506 125281],131072
14,[72925 110894 37264 125670 95116 127574 120285 121175 44176 120210 3199 106147 129813 119572 1340 23381 130226 119447 8380 126647 95576 80500 45142 89596],131072
15,[107559 93662 11989 80985 68380 18906 70164 94994 38387 86685 105739 28363 24755 56760 68538 18320 28353 32142 98208 37386 101106 23653 15513 40827],131072
16,[22038 103869 68717 104664 47427 63432 80125 121330 101656 26677 4278 71117 128803 11774 96615 65568 57618 120967 87312 89982 15543 42355 82837 88615],131072
17,[63501 32766 52184 95022 59441 84356 121331 56375 123686 117715 34841 56847 39133 40751 4104 37763 36329 48632 52903 26932 117918 119713 52086 32087],131072
18,[58901 8413 115369 96892 102729 78107 98677 74516 125904 13950 97238 53446 39630 5142 4538 86269 45862 20508 81885 19961 15243 87979 93872 10960],131072
19,[75136 117823 71716 100798 20228 37151 32388 8790 115512 2590 32703 103507 95559 19336 80889 55032 29351 10296 121153 61351 59811 55002 51075 24526],131072
20,[105202 88667 23685 63986 115318 94774 456 33415 52138 84095 62171 117909 34596 66089 32512 78434 93092 35340 87101 127743 120296 8746 89861 97923],131072
21,[39388 122557 37715 11354 36114 108045 115336 84297 1954 99797 78429 78492 76896 36030 10449 11742 97780 67894 59915 52840 26142 93024 65009 13776],131072
22,[70335 35325 45440 106999 25377 25476 89154 62892 45772 55006 106400 18170 64154 120831 10141 3408 925 130686 26043 41600 47698 87041 9468 71616],131072
23,[64419 62331 55142 107135 129464 9646 84395 87999 59422 80347 92278 82259 112454 97046 118306 107945 125385 36391 126478 68556 28470 6768 113405 45699],131072
24,[32315 5636 77571 116255 7496 108507 1187 70259 73632 28033 33550 75181 41804 51697 67339 24432 79920 112340 83452 60425 130250 53966 50081 14196],131072
