task number,solution time,fitness minimum,stop reason,generations number
93,4.115864,99601,Нет улучшений на последних двух итерациях,514
129,4.114161,1642623,Нет улучшений на последних двух итерациях,501
45,4.210445,183069,Нет улучшений на последних двух итерациях,508
21,4.290484,458139,Нет улучшений на последних двух итерациях,515
33,4.634235,56715,Нет улучшений на последних двух итерациях,550
109,4.691459,466595,Нет улучшений на последних двух итерациях,608
133,4.748643,1063651,Нет улучшений на последних двух итерациях,509
29,4.959812,480680,Нет улучшений на последних двух итерациях,532
85,4.962402,8240,Нет улучшений на последних двух итерациях,538
65,5.002285,304665,Нет улучшений на последних двух итерациях,502
105,4.971078,1058115,Нет улучшений на последних двух итерациях,638
125,4.995687,107353,Нет улучшений на последних двух итерациях,598
121,5.044101,135850,Нет улучшений на последних двух итерациях,528
137,5.159627,201542,Нет улучшений на последних двух итерациях,567
89,5.252196,81791,Нет улучшений на последних двух итерациях,550
113,5.248565,285154,Нет улучшений на последних двух итерациях,570
61,5.310707,7589,Нет улучшений на последних двух итерациях,540
101,5.413547,146408,Нет улучшений на последних двух итерациях,577
53,5.465795,297108,Нет улучшений на последних двух итерациях,612
57,5.688546,224512,Нет улучшений на последних двух итерациях,663
141,5.638024,140664,Нет улучшений на последних двух итерациях,613
153,5.779187,422388,Нет улучшений на последних двух итерациях,548
73,6.095424,405084,Нет улучшений на последних двух итерациях,611
54,0.802374,0,Найдено точное решение,71
25,6.352147,108490,Нет улучшений на последних двух итерациях,601
149,6.199179,64239,Нет улучшений на последних двух итерациях,568
97,6.414399,415100,Нет улучшений на последних двух итерациях,829
77,6.503929,948991,Нет улучшений на последних двух итерациях,660
41,6.540273,198049,Нет улучшений на последних двух итерациях,661
157,6.458224,910265,Нет улучшений на последних двух итерациях,657
145,6.623678,33222,Нет улучшений на последних двух итерациях,654
5,6.981547,29480,Нет улучшений на последних двух итерациях,511
9,7.109823,104534,Нет улучшений на последних двух итерациях,529
1,7.300732,397807,Нет улучшений на последних двух итерациях,553
13,7.733549,814505,Нет улучшений на последних двух итерациях,594
81,7.653510,219740,Нет улучшений на последних двух итерациях,530
49,7.705251,31448,Нет улучшений на последних двух итерациях,700
37,7.883316,91003,Нет улучшений на последних двух итерациях,611
94,4.339950,69934,Нет улучшений на последних двух итерациях,569
117,8.632420,168378,Нет улучшений на последних двух итерациях,732
46,4.523300,20507,Нет улучшений на последних двух итерациях,516
17,8.923153,136421,Нет улучшений на последних двух итерациях,831
126,3.817968,25181,Нет улучшений на последних двух итерациях,539
62,3.714064,580172,Нет улучшений на последних двух итерациях,519
110,4.707256,251779,Нет улучшений на последних двух итерациях,528
34,5.040485,196293,Нет улучшений на последних двух итерациях,694
30,4.988605,132800,Нет улучшений на последних двух итерациях,575
114,4.880435,33272,Нет улучшений на последних двух итерациях,550
122,5.165112,325592,Нет улучшений на последних двух итерациях,617
142,5.043325,58452,Нет улучшений на последних двух итерациях,569
6,4.025364,950731,Нет улучшений на последних двух итерациях,534
154,5.249094,112154,Нет улучшений на последних двух итерациях,559
146,4.633294,530208,Нет улучшений на последних двух итерациях,560
10,4.437593,487630,Нет улучшений на последних двух итерациях,582
66,6.444129,26018,Нет улучшений на последних двух итерациях,671
14,3.942971,670386,Нет улучшений на последних двух итерациях,520
106,6.613087,52777,Нет улучшений на последних двух итерациях,680
22,7.452131,0,Найдено точное решение,820
98,5.356668,468077,Нет улучшений на последних двух итерациях,515
130,7.637860,123565,Нет улучшений на последних двух итерациях,541
2,5.083314,214125,Нет улучшений на последних двух итерациях,512
158,5.761995,154781,Нет улучшений на последних двух итерациях,534
138,7.197779,66324,Нет улучшений на последних двух итерациях,756
127,3.724593,429886,Нет улучшений на последних двух итерациях,518
26,6.419878,278556,Нет улучшений на последних двух итерациях,609
69,12.890067,718841,Нет улучшений на последних двух итерациях,992
38,5.282984,83756,Нет улучшений на последних двух итерациях,590
18,4.378075,1277862,Нет улучшений на последних двух итерациях,520
47,4.517014,120487,Нет улучшений на последних двух итерациях,504
74,7.150721,1231,Нет улучшений на последних двух итерациях,641
42,6.751806,223527,Нет улучшений на последних двух итерациях,514
86,8.355711,249558,Нет улучшений на последних двух итерациях,727
35,4.086668,625218,Нет улучшений на последних двух итерациях,568
95,5.603491,932361,Нет улучшений на последних двух итерациях,777
111,4.746327,171762,Нет улучшений на последних двух итерациях,500
78,7.957412,106199,Нет улучшений на последних двух итерациях,934
134,9.693989,45723,Нет улучшений на последних двух итерациях,796
58,9.005648,1051775,Достигнуто максимальное число поколений,1000
102,9.288047,63000,Нет улучшений на последних двух итерациях,993
31,5.005098,111627,Нет улучшений на последних двух итерациях,602
7,4.112704,277513,Нет улучшений на последних двух итерациях,510
90,9.774544,548090,Нет улучшений на последних двух итерациях,949
55,8.828768,253734,Нет улучшений на последних двух итерациях,676
123,4.850386,151106,Нет улучшений на последних двух итерациях,583
82,7.483025,19446,Нет улучшений на последних двух итерациях,597
124,0.140548,0,Найдено точное решение,16
147,4.045053,62717,Нет улучшений на последних двух итерациях,543
63,6.421694,217903,Нет улучшений на последних двух итерациях,714
115,5.850848,105978,Нет улучшений на последних двух итерациях,586
67,4.746598,272726,Нет улучшений на последних двух итерациях,585
11,4.840215,7487,Нет улучшений на последних двух итерациях,612
155,5.582557,1019117,Нет улучшений на последних двух итерациях,565
99,5.362571,378152,Нет улучшений на последних двух итерациях,516
15,5.588735,37249,Нет улучшений на последних двух итерациях,674
139,5.011523,15159,Нет улучшений на последних двух итерациях,612
23,6.002327,252379,Нет улучшений на последних двух итерациях,569
19,4.520809,878897,Нет улучшений на последних двух итерациях,550
118,9.077671,202778,Нет улучшений на последних двух итерациях,926
16,0.768696,0,Найдено точное решение,72
131,6.150396,307872,Нет улучшений на последних двух итерациях,532
43,4.799707,2628,Нет улучшений на последних двух итерациях,570
128,5.522745,180638,Нет улучшений на последних двух итерациях,739
48,4.949366,105159,Нет улучшений на последних двух итерациях,600
107,6.747970,771266,Нет улучшений на последних двух итерациях,539
150,12.134225,391420,Нет улучшений на последних двух итерациях,915
143,7.872949,183027,Нет улучшений на последних двух итерациях,590
8,3.780762,65285,Нет улучшений на последних двух итерациях,507
50,11.087851,698510,Достигнуто максимальное число поколений,1000
75,5.956581,499831,Нет улучшений на последних двух итерациях,790
148,3.822150,781175,Нет улучшений на последних двух итерациях,541
79,4.912202,1020896,Нет улучшений на последних двух итерациях,564
3,7.162567,247218,Нет улучшений на последних двух итерациях,639
103,4.709670,210596,Нет улучшений на последних двух итерациях,501
87,6.184280,73386,Нет улучшений на последних двух итерациях,638
59,5.050921,365623,Нет улучшений на последних двух итерациях,678
56,4.663769,412512,Нет улучшений на последних двух итерациях,530
159,7.476973,389941,Нет улучшений на последних двух итерациях,713
36,6.178446,228047,Нет улучшений на последних двух итерациях,534
27,7.369187,221132,Нет улучшений на последних двух итерациях,841
39,7.178497,117483,Нет улучшений на последних двух итерациях,692
96,6.446903,269979,Нет улучшений на последних двух итерациях,659
32,5.806796,236474,Нет улучшений на последних двух итерациях,655
70,7.822235,145725,Нет улучшений на последних двух итерациях,645
68,4.858094,216274,Нет улучшений на последних двух итерациях,541
112,6.970648,451041,Нет улучшений на последних двух итерациях,610
135,7.117952,100965,Нет улучшений на последних двух итерациях,574
161,6.720618,92432,Нет улучшений на последних двух итерациях,600
20,4.278233,37707,Нет улучшений на последних двух итерациях,518
12,5.764576,59027,Нет улучшений на последних двух итерациях,518
83,6.907383,82912,Нет улучшений на последних двух итерациях,928
91,7.368530,799519,Нет улучшений на последних двух итерациях,739
44,4.403405,28113,Нет улучшений на последних двух итерациях,622
169,4.463647,26371,Нет улучшений на последних двух итерациях,642
165,4.718652,225104,Нет улучшений на последних двух итерациях,515
24,5.039525,192772,Нет улучшений на последних двух итерациях,511
173,4.576038,18954,Нет улучшений на последних двух итерациях,537
51,4.003048,737888,Нет улучшений на последних двух итерациях,509
144,4.510282,627635,Нет улучшений на последних двух итерациях,500
181,4.032068,1596987,Нет улучшений на последних двух итерациях,568
