task number,first solution time,all solutions time,answers number
69,10.885449,27.715297,1
101,1.158881,27.860743,1
37,19.837815,28.326702,1
25,7.238305,31.140480,1
81,0.138462,33.676575,1
85,27.160208,34.027671,1
65,6.552619,34.117151,1
9,24.116679,34.679909,1
141,0.001078,34.650735,1
33,20.092664,34.761843,1
125,1.521749,35.033075,1
49,0.330682,35.552350,1
121,0.144401,35.691055,1
89,34.673972,35.825822,1
5,12.941225,35.908126,1
41,4.516968,36.072358,1
153,29.308585,36.009808,1
1,0.772734,36.199376,1
145,21.772593,36.559824,1
157,4.543195,36.789418,1
57,1.659840,36.944352,1
45,12.396407,37.070910,1
17,3.193154,37.518702,1
129,0.025427,37.478146,1
113,15.515932,37.954954,1
137,23.764461,38.001972,1
61,9.577754,38.095736,1
21,1.687119,38.158984,1
77,0.755895,38.498171,1
97,37.184273,38.899529,1
73,13.200515,39.150746,1
117,5.301077,39.864771,1
133,1.844017,39.843343,1
53,1.714467,39.980872,1
29,17.671556,40.442522,1
149,5.082726,41.184701,1
93,8.671844,41.301618,1
109,8.245824,43.429588,1
13,2.923681,43.671716,1
105,3.187964,44.479230,1
102,9.296929,27.603654,1
70,17.926603,28.222258,1
38,1.660247,28.470725,1
86,11.195583,27.866372,1
122,17.932561,29.498028,1
126,5.940632,33.150559,1
58,0.186127,31.309011,1
50,4.314267,32.998176,1
34,8.337662,34.562899,1
154,1.742972,33.371177,1
142,27.949294,34.796361,1
26,18.179099,38.580477,1
6,0.026163,34.347658,1
130,5.555590,33.020556,1
18,0.002248,33.233758,1
66,18.485696,36.806255,1
74,4.282242,32.027987,1
22,16.315564,33.793641,1
54,0.685461,33.181671,1
90,30.384306,37.846970,1
98,2.296958,35.150961,1
158,2.705823,37.245642,1
42,10.575420,38.140081,1
114,0.002145,37.340466,1
46,7.395550,38.463986,1
138,0.105696,38.466536,1
62,0.000592,39.582806,1
78,1.055642,39.388146,1
2,4.202090,42.383601,1
82,9.839211,45.122272,1
146,4.825689,42.718161,1
14,21.124037,36.311619,1
30,6.251638,40.455239,1
106,29.907897,37.180253,1
134,18.410396,41.885304,1
10,3.303646,47.610518,1
150,31.449471,43.345714,1
118,36.889773,45.507229,1
71,24.831046,29.934725,1
110,24.218267,42.931664,1
103,0.817963,30.914281,1
94,6.594192,46.404569,1
39,23.564533,32.587815,1
87,8.523713,28.675473,1
123,0.305506,34.407368,1
75,11.510004,29.274787,1
51,0.014540,34.554718,1
35,4.439555,33.779840,1
159,18.875121,29.332783,1
131,17.498106,34.447031,1
127,0.013530,37.524688,1
59,5.952848,38.291534,1
91,21.340852,33.753015,1
19,19.272045,36.968517,1
27,19.561633,38.392535,1
115,8.200255,32.832288,1
7,12.323759,39.196179,1
143,0.719166,41.006868,1
67,0.032416,39.735119,1
147,2.116971,33.110174,1
155,2.171172,43.213709,1
31,0.122902,31.930562,1
63,0.889881,36.135724,1
47,0.112715,38.695396,1
72,27.326675,28.926463,1
83,1.281488,36.359714,1
3,21.031033,36.689656,1
43,12.951217,41.206074,1
139,22.903275,40.009060,1
55,11.117263,43.774404,1
79,9.328609,39.527339,1
99,38.010170,43.719419,2
23,23.756869,45.985379,1
88,0.556916,28.424121,1
151,18.636770,35.070296,1
15,4.641581,39.772467,1
135,10.136742,39.506693,1
11,4.319003,39.079721,1
95,0.003136,34.059157,1
107,0.002584,40.596234,1
119,0.654023,39.182290,1
104,21.434324,38.411445,1
111,9.862304,38.542781,1
40,0.248425,37.298007,1
160,0.114757,29.444279,1
124,16.248785,34.210904,1
76,16.721627,39.400897,1
52,17.312848,37.169946,1
60,11.515756,35.311868,1
132,27.356097,37.806565,1
20,0.007488,37.401650,1
36,0.016320,44.129523,1
68,26.824059,36.613539,1
32,0.137727,34.792252,1
116,0.785302,39.707365,1
28,13.755418,39.781979,1
148,17.899119,35.448368,1
80,0.076128,30.636550,1
8,11.755630,38.750607,1
48,5.588572,34.632944,1
161,8.175629,34.352941,1
156,23.458972,36.848792,1
144,11.139413,39.395865,1
64,27.639694,36.158796,1
128,11.776675,45.102670,1
44,32.163584,35.619099,1
4,10.678611,36.339928,1
140,7.352233,35.686188,1
84,13.908201,37.323736,1
108,1.728685,31.939482,1
165,3.062554,35.511092,1
92,8.821577,47.925133,1
56,0.102705,38.514096,1
100,25.373388,39.176581,1
24,0.079211,39.418455,1
96,16.982986,36.598531,1
152,1.014276,39.603648,1
112,17.006963,34.778021,1
16,0.000705,40.719286,1
169,18.297479,36.179554,1
136,0.022529,39.896990,1
120,17.028405,37.016756,1
12,8.429778,41.485136,1
173,12.845441,45.094845,1
189,0.395961,32.152735,1
201,6.940846,29.722580,1
181,5.024852,41.724709,1
177,0.062176,43.105214,1
229,2.663336,28.607271,1
205,4.286142,30.196964,1
185,5.291404,40.950095,1
197,2.363143,39.215947,1
217,23.115807,34.435403,2
193,14.049876,42.079432,1
261,17.443822,32.474015,1
213,0.094140,36.683075,1
257,10.989852,33.579663,1
209,0.222842,37.796429,1
225,28.940102,37.265971,1
241,9.386773,36.169247,1
233,18.557859,38.143781,1
237,1.262645,37.819800,1
249,21.869859,37.201066,1
162,15.124170,38.077799,1
269,19.647038,35.341732,1
273,1.966015,33.657104,1
265,15.349651,36.568695,1
221,24.310838,41.197055,1
245,0.565793,39.822297,1
253,9.182018,39.810927,1
277,30.546417,36.536325,1
297,10.625777,33.365529,1
281,2.916365,38.105271,1
166,11.126141,39.709251,1
289,19.121718,39.500564,1
313,29.126060,35.405765,1
293,18.421773,38.806474,2
170,4.478136,36.499158,1
305,0.013807,39.835974,1
309,1.066497,39.458254,1
317,0.344646,38.436131,1
285,19.003442,44.475570,1
202,4.199119,29.493956,1
230,0.046533,28.590295,1
301,7.893333,46.742253,1
190,8.936256,35.344537,1
178,0.952591,35.309775,1
174,3.294959,42.639984,1
182,21.056432,39.878247,1
262,24.184994,33.052660,1
218,2.224749,34.907663,1
186,21.051382,37.686192,1
198,12.726929,37.014187,1
194,0.723108,36.194349,1
210,32.078509,35.125414,1
226,0.002510,35.055353,1
214,13.900901,36.227091,1
270,0.040437,34.435534,1
258,31.611419,38.416508,1
242,12.849379,37.443399,1
163,25.938857,37.829121,1
246,0.025292,35.569549,1
234,0.000879,39.134396,1
278,16.849099,34.006783,1
238,18.489667,39.874409,1
171,23.535042,30.107618,1
274,25.516326,39.739229,1
254,2.084852,37.080879,1
282,18.914565,35.429928,1
250,0.000347,42.431120,1
266,28.090258,40.814942,1
222,14.882254,41.415761,1
298,28.108888,37.916943,1
290,8.415779,34.275487,1
314,27.017369,34.304293,1
206,43.422610,54.806648,1
294,0.410320,36.485693,1
203,1.865261,32.625283,1
231,11.620655,31.962732,1
306,0.546050,36.940906,1
318,20.954291,36.249977,1
167,0.895264,43.880415,1
310,23.448798,40.178473,1
302,14.302252,36.940050,1
175,3.219209,36.251738,1
191,6.467979,44.622026,1
263,0.001771,36.337853,1
164,4.433386,28.447828,1
195,0.096705,33.446643,1
179,0.683545,42.670221,1
219,24.745405,36.999940,1
286,32.248692,53.236489,1
199,0.000046,36.256480,1
172,4.499649,27.987212,1
243,0.004217,33.732151,1
215,5.627173,36.847894,1
259,13.055970,34.693102,1
211,29.381892,38.011716,1
183,6.147642,43.064540,1
247,0.103495,33.756669,1
227,5.010839,39.197649,1
315,0.148580,28.932289,1
271,0.197530,39.831957,1
251,12.627703,34.126294,1
267,0.831817,34.341992,1
279,35.598872,39.566060,1
235,7.835533,40.029780,1
275,10.963020,38.468013,1
187,28.803956,47.718966,1
299,28.351347,35.960313,1
239,29.308310,40.138405,1
223,18.086818,36.787160,1
255,30.402042,40.527298,1
283,0.501012,40.152311,1
207,4.722000,37.218585,1
204,2.269523,33.334516,1
291,10.761212,39.737014,1
319,0.159396,34.220145,1
295,25.949532,39.128573,1
307,30.964470,38.192716,1
232,0.003063,39.616618,1
168,2.982778,43.587620,1
303,7.780587,40.881577,1
311,30.616033,43.479256,1
176,1.313675,35.622571,1
325,14.699388,31.637487,1
244,0.137192,30.516483,1
287,24.602598,33.137900,1
192,29.563624,36.605135,1
196,0.418140,35.842935,1
260,7.659262,34.508465,1
264,4.797049,38.990356,1
216,32.436090,35.516185,1
184,0.005226,34.753628,1
321,0.094177,39.807758,1
220,8.480305,39.403562,1
272,19.756388,31.676502,1
200,26.577484,39.674642,1
228,2.642470,36.742420,1
280,17.734612,33.471899,1
276,0.024918,34.239725,1
208,0.090325,32.059516,1
300,0.045465,35.271960,2
236,0.467559,36.435432,1
316,25.948165,41.773918,1
256,13.071837,33.794909,1
252,25.001706,39.251290,1
240,9.209646,37.830940,1
180,0.082143,50.859294,1
268,9.131949,41.389004,1
188,31.876757,40.829024,1
212,0.010313,49.277064,1
284,21.086905,39.802760,1
292,0.278893,38.660699,1
308,12.225761,34.798826,1
333,21.362625,33.828755,1
296,7.475624,39.315323,1
320,0.888162,40.424180,1
248,31.042251,53.419522,1
326,11.121008,28.525732,1
224,0.299195,48.726423,1
329,0.002496,46.421300,1
345,4.196526,30.640549,1
288,18.924749,30.248661,1
337,0.266572,37.124768,1
341,0.946594,33.395316,1
349,20.391971,34.998627,1
304,24.953905,41.423523,1
365,0.015548,32.894213,1
312,14.570309,41.821146,1
353,8.880963,37.801457,1
322,9.849249,34.388056,1
377,0.533400,35.230783,1
369,20.682127,35.764776,1
373,25.489373,36.071923,1
357,0.107569,37.720647,1
381,9.561021,36.080996,1
361,1.352449,40.580068,1
401,5.115309,32.023511,1
385,1.586767,39.341571,1
397,14.109027,34.534124,1
393,0.185423,36.484919,1
417,13.767983,35.411863,1
405,8.815017,38.132297,1
413,3.147871,38.722169,1
409,0.000379,40.235255,1
429,8.694891,37.461225,1
389,2.676947,44.011034,1
433,27.623713,37.088131,1
449,4.191838,34.088955,1
421,2.752637,40.733690,1
441,3.970747,37.307781,1
457,20.742165,34.426612,1
469,0.000745,28.632062,1
425,6.397840,42.421430,1
334,0.563021,37.151709,1
437,0.002907,40.574778,1
453,8.494867,37.246126,1
327,4.390594,33.858012,1
445,2.037796,41.083659,1
330,10.540565,34.705969,1
346,7.738381,34.365223,1
342,9.324465,35.160660,1
465,2.220759,41.088838,1
350,0.003901,33.108313,1
461,44.174895,47.023631,1
338,7.533457,43.337242,1
366,8.660757,37.413471,1
378,26.341816,34.295354,1
402,8.756509,30.544031,1
473,3.376183,39.653785,1
323,1.396729,37.702680,1
354,8.000004,38.328484,1
382,2.793196,38.348570,1
386,18.214794,35.514131,2
370,19.390738,42.087003,1
477,1.047918,45.378216,1
418,5.621230,35.108460,1
358,31.515142,43.570313,1
398,22.421664,39.367142,1
470,16.317459,29.059684,1
394,19.013996,39.539247,1
374,4.017932,46.818305,1
450,0.883452,33.572752,1
434,25.155103,34.400026,1
410,5.231920,36.985530,1
430,17.330753,36.621460,1
362,5.307953,47.358526,1
442,17.182927,35.255742,1
335,22.287656,34.483443,1
454,21.748796,34.149170,1
426,4.770837,37.295331,1
414,5.998668,44.096358,1
